"CN","PREV_TRE_CN","INVYR","UNITCD","SUBP","TREE","PLOT","STATUSCD","DIA","HT","ACTUALHT","SPCD","CYCLE"
6.5674556010661e+13,,2001,3,1,1,20090,1,6.1,25,25,972,12
6.5674562010661e+13,,2001,3,1,2,20090,1,9.3,67,67,972,12
6.5674567010661e+13,,2001,3,1,3,20090,1,10.5,89,89,544,12
6.5674575010661e+13,,2001,3,1,4,20090,1,6.5,36,36,972,12
6.5674582010661e+13,,2001,3,1,5,20090,1,11.5,84,84,972,12
6.5674590010661e+13,,2001,3,1,6,20090,1,8.1,55,55,972,12
6.5674597010661e+13,,2001,3,1,7,20090,1,8.8,73,73,972,12
6.5674602010661e+13,,2001,3,1,8,20090,1,5.1,43,43,972,12
6.5674609010661e+13,,2001,3,1,9,20090,1,9.7,61,61,972,12
6.5674613010661e+13,,2001,3,1,10,20090,1,6.5,38,38,972,12
6.5674669010661e+13,,2001,3,2,1,20090,1,5.9,51,51,313,12
6.5674663010661e+13,,2001,3,2,2,20090,1,6.6,58,58,972,12
6.5674620010661e+13,,2001,3,2,3,20090,2,9.5,72,64,972,12
6.5674628010661e+13,,2001,3,2,4,20090,1,7.2,60,60,972,12
6.5674631010661e+13,,2001,3,2,5,20090,2,8.6,68,54,972,12
6.5674638010661e+13,,2001,3,2,6,20090,2,6.2,58,44,972,12
6.5674641010661e+13,,2001,3,2,7,20090,1,8.8,58,58,972,12
6.5674648010661e+13,,2001,3,2,8,20090,1,6,64,64,972,12
6.5674652010661e+13,,2001,3,2,9,20090,1,2.8,28,,972,12
6.5674659010661e+13,,2001,3,2,10,20090,1,1.9,21,,972,12
6.5674678010661e+13,,2001,3,3,1,20090,1,6.2,53,53,972,12
6.5674693010661e+13,,2001,3,3,5,20090,1,13.5,89,89,972,12
6.5674680010661e+13,,2001,3,3,2,20090,1,7.1,67,67,972,12
6.5674685010661e+13,,2001,3,3,3,20090,1,6.4,51,51,972,12
6.5674689010661e+13,,2001,3,3,4,20090,1,5.8,44,44,972,12
6.5674698010661e+13,,2001,3,3,6,20090,1,9.5,59,59,972,12
6.5674724010661e+13,,2001,3,4,1,20090,1,5.3,57,57,972,12
6.5674729010661e+13,,2001,3,4,2,20090,1,7.5,51,51,972,12
6.5674733010661e+13,,2001,3,4,3,20090,2,9.2,52,38,972,12
6.5674738010661e+13,,2001,3,4,4,20090,1,12.5,103,103,316,12
6.5674745010661e+13,,2001,3,4,5,20090,1,5.5,42,42,972,12
6.5674750010661e+13,,2001,3,4,6,20090,1,12.4,72,72,972,12
6.5674754010661e+13,,2001,3,4,7,20090,1,6.4,51,51,313,12
6.5674718010661e+13,,2001,3,4,8,20090,1,12.7,79,79,316,12
6.5674703010661e+13,,2001,3,4,9,20090,1,3.4,32,,972,12
6.5674708010661e+13,,2001,3,4,10,20090,1,2.2,24,,972,12
6.5674713010661e+13,,2001,3,4,11,20090,1,3.4,32,,316,12
6.5674397010661e+13,,2001,3,101,1,20110,0,,,,823,12
6.5674409010661e+13,,2001,3,102,1,20110,0,,,,823,12
6.5674423010661e+13,,2001,3,103,1,20110,0,,,,402,12
6.5674435010661e+13,,2001,3,104,1,20110,0,,,,833,12
6.5674449010661e+13,,2001,3,104,2,20110,0,,,,313,12
6.5674461010661e+13,,2001,3,105,2,20110,3,,,,833,12
6.5674478010661e+13,,2001,3,105,3,20110,3,,,,833,12
6.5674492010661e+13,,2001,3,105,4,20110,3,,,,833,12
6.5674504010661e+13,,2001,3,105,6,20110,3,,,,833,12
6.5674911010661e+13,,2001,3,1,1,20113,1,6.9,70,70,972,12
6.5674918010661e+13,,2001,3,1,2,20113,1,6.8,81,81,972,12
6.5674926010661e+13,,2001,3,1,3,20113,1,6.2,63,63,972,12
6.5674934010661e+13,,2001,3,1,4,20113,1,5.7,51,51,972,12
6.5674940010661e+13,,2001,3,1,5,20113,1,5.2,51,51,972,12
6.5674950010661e+13,,2001,3,1,6,20113,1,15.5,109,109,742,12
6.5674957010661e+13,,2001,3,1,7,20113,1,7.6,54,54,313,12
6.5674965010661e+13,,2001,3,1,8,20113,1,5.3,54,54,972,12
6.5674973010661e+13,,2001,3,1,9,20113,1,12.9,87,87,742,12
6.5675005010661e+13,,2001,3,1,13,20113,1,1.5,18,,977,12
6.5674980010661e+13,,2001,3,1,10,20113,1,5.5,44,44,972,12
6.5674989010661e+13,,2001,3,1,11,20113,1,6.7,59,59,972,12
6.5674996010661e+13,,2001,3,1,12,20113,1,1.4,17,,972,12
6.5675013010661e+13,,2001,3,1,14,20113,1,2.4,25,,977,12
6.5675018010661e+13,,2001,3,1,15,20113,1,2.3,24,,977,12
6.5675135010661e+13,,2001,3,2,1,20113,1,5.9,52,52,313,12
6.5675140010661e+13,,2001,3,2,2,20113,1,16.6,108,108,742,12
6.5675145010661e+13,,2001,3,2,3,20113,1,6.4,54,54,313,12
6.5675130010661e+13,,2001,3,2,4,20113,1,10.3,82,82,742,12
6.5675023010661e+13,,2001,3,2,5,20113,1,10,102,102,742,12
6.5675027010661e+13,,2001,3,2,6,20113,1,8.4,86,86,742,12
6.5675033010661e+13,,2001,3,2,7,20113,1,8.4,105,105,972,12
6.5675039010661e+13,,2001,3,2,8,20113,1,8.3,109,109,742,12
6.5675044010661e+13,,2001,3,2,9,20113,1,8.3,101,101,313,12
6.5675052010661e+13,,2001,3,2,10,20113,1,5.7,51,51,975,12
6.5675059010661e+13,,2001,3,2,11,20113,1,6.8,71,71,313,12
6.5675065010661e+13,,2001,3,2,12,20113,1,1.2,16,,972,12
6.5675071010661e+13,,2001,3,2,13,20113,1,2.5,26,,972,12
6.5675076010661e+13,,2001,3,2,14,20113,1,1.3,17,,972,12
6.5675084010661e+13,,2001,3,2,15,20113,1,2.7,27,,972,12
6.5675091010661e+13,,2001,3,2,16,20113,1,1.4,17,,972,12
6.5675101010661e+13,,2001,3,2,17,20113,1,1.6,19,,972,12
6.5675107010661e+13,,2001,3,2,18,20113,1,1.2,16,,972,12
6.5675113010661e+13,,2001,3,2,19,20113,1,1.1,15,,972,12
6.5675119010661e+13,,2001,3,2,20,20113,1,1.4,17,,972,12
6.5675205010661e+13,,2001,3,3,1,20113,1,11.4,69,69,313,12
6.5675214010661e+13,,2001,3,3,2,20113,1,7.9,57,57,313,12
6.5675221010661e+13,,2001,3,3,3,20113,1,6.4,43,43,972,12
6.5675230010661e+13,,2001,3,3,4,20113,1,7.6,54,54,316,12
6.5675238010661e+13,,2001,3,3,5,20113,1,6.1,47,47,972,12
6.5675198010661e+13,,2001,3,3,6,20113,1,10.4,104,104,742,12
6.5675164010661e+13,,2001,3,3,10,20113,1,1.2,16,,977,12
6.5675150010661e+13,,2001,3,3,7,20113,1,6.5,59,59,972,12
6.5675155010661e+13,,2001,3,3,8,20113,1,8.3,70,70,313,12
6.5675160010661e+13,,2001,3,3,9,20113,1,9.3,91,91,313,12
6.5675169010661e+13,,2001,3,3,11,20113,1,2.8,28,,977,12
6.5675175010661e+13,,2001,3,3,12,20113,1,1.9,21,,977,12
6.5675183010661e+13,,2001,3,3,13,20113,1,1.3,17,,977,12
6.5675190010661e+13,,2001,3,3,14,20113,1,2.6,27,,972,12
6.5675280010661e+13,,2001,3,4,1,20113,1,13,130,130,742,12
6.5675286010661e+13,,2001,3,4,2,20113,1,6.3,63,63,742,12
6.5675295010661e+13,,2001,3,4,3,20113,1,6.4,66,66,313,12
6.5675302010661e+13,,2001,3,4,4,20113,1,5.8,44,44,313,12
6.5675311010661e+13,,2001,3,4,5,20113,1,14.5,86,86,742,12
6.5675316010661e+13,,2001,3,4,6,20113,1,6.1,38,38,313,12
6.5675324010661e+13,,2001,3,4,7,20113,1,6.5,48,48,313,12
6.5675332010661e+13,,2001,3,4,8,20113,2,6.4,52,7,313,12
6.5675340010661e+13,,2001,3,4,9,20113,1,8,73,73,313,12
6.5675346010661e+13,,2001,3,4,10,20113,1,7.4,57,57,313,12
6.5675355010661e+13,,2001,3,4,11,20113,1,5.6,65,65,313,12
6.5675364010661e+13,,2001,3,4,12,20113,1,8.2,79,79,313,12
6.5675372010661e+13,,2001,3,4,13,20113,1,4.4,37,,313,12
6.5675275010661e+13,,2001,3,4,14,20113,1,4.2,36,,977,12
6.5675244010661e+13,,2001,3,4,15,20113,1,3.2,30,,977,12
6.5675253010661e+13,,2001,3,4,16,20113,1,1.9,21,,977,12
6.5675259010661e+13,,2001,3,4,17,20113,1,1,14,,977,12
6.5675266010661e+13,,2001,3,4,18,20113,1,4.4,37,,977,12
6.5673480010661e+13,,2001,3,1,2,20202,1,10.3,66,66,972,12
6.5673486010661e+13,,2001,3,1,3,20202,1,10.2,68,68,972,12
6.5673490010661e+13,,2001,3,1,6,20202,1,23.5,107,107,742,12
6.5673495010661e+13,,2001,3,1,7,20202,1,7,45,45,972,12
6.5673501010661e+13,,2001,3,1,8,20202,2,12.5,65,7,972,12
6.5673547010661e+13,,2001,3,2,1,20202,1,5.4,43,43,972,12
6.5673510010661e+13,,2001,3,1,9,20202,1,9.6,56,56,972,12
6.5673515010661e+13,,2001,3,1,10,20202,2,9.4,67,42,972,12
6.5673521010661e+13,,2001,3,1,11,20202,1,6.4,47,47,972,12
6.5673553010661e+13,,2001,3,2,2,20202,1,11,85,85,972,12
6.5673561010661e+13,,2001,3,2,3,20202,1,9.6,78,78,972,12
6.5673567010661e+13,,2001,3,2,4,20202,1,10.7,80,80,972,12
6.5673539010661e+13,,2001,3,2,5,20202,1,5.8,56,56,972,12
6.5673531010661e+13,,2001,3,2,6,20202,2,9.8,68,56,972,12
6.5673573010661e+13,,2001,3,3,1,20202,2,11.4,68,57,972,12
6.5673582010661e+13,,2001,3,3,2,20202,1,7.3,57,57,972,12
6.5673589010661e+13,,2001,3,3,3,20202,1,6.5,36,36,972,12
6.5673598010661e+13,,2001,3,3,4,20202,1,11.5,70,70,972,12
6.5673606010661e+13,,2001,3,3,5,20202,1,5.5,46,46,972,12
6.5673613010661e+13,,2001,3,3,6,20202,1,6.5,43,43,972,12
6.5673622010661e+13,,2001,3,3,7,20202,1,10.7,72,72,972,12
6.5673628010661e+13,,2001,3,3,8,20202,2,6.2,109,51,972,12
6.5673637010661e+13,,2001,3,3,9,20202,1,11.1,71,71,972,12
6.5673642010661e+13,,2001,3,3,10,20202,1,6,54,54,972,12
6.5673649010661e+13,,2001,3,3,11,20202,1,8.8,62,62,972,12
6.5673658010661e+13,,2001,3,3,12,20202,1,7.7,56,56,972,12
6.5673673010661e+13,,2001,3,4,1,20202,1,11.9,75,75,316,12
6.5673679010661e+13,,2001,3,4,2,20202,1,16.3,51,51,316,12
6.5673687010661e+13,,2001,3,4,3,20202,1,10,76,76,313,12
6.5673693010661e+13,,2001,3,4,4,20202,1,10,40,40,313,12
6.5673702010661e+13,,2001,3,4,5,20202,1,6.9,41,41,313,12
6.5673709010661e+13,,2001,3,4,6,20202,1,10.6,51,51,313,12
6.5673716010661e+13,,2001,3,4,7,20202,1,5.3,46,46,316,12
6.5673725010661e+13,,2001,3,4,8,20202,2,30.4,109,51,742,12
6.5673758010661e+13,,2001,3,101,2,20202,1,10.3,,,972,12
6.5673733010661e+13,,2001,3,4,9,20202,1,3.3,31,,660,12
6.5673666010661e+13,,2001,3,4,10,20202,1,3,29,,544,12
6.5673741010661e+13,,2001,3,101,1,20202,2,,,,972,12
6.5673781010661e+13,,2001,3,101,3,20202,1,10.2,,,972,12
6.5673802010661e+13,,2001,3,101,4,20202,1,51.9,,,742,12
6.5673826010661e+13,,2001,3,101,5,20202,2,,,,972,12
6.5673839010661e+13,,2001,3,101,6,20202,1,23.5,,,742,12
6.5673862010661e+13,,2001,3,102,2,20202,2,,,,972,12
6.5673877010661e+13,,2001,3,102,3,20202,2,,,,972,12
6.5673889010661e+13,,2001,3,102,4,20202,2,,,,972,12
6.5673902010661e+13,,2001,3,102,5,20202,1,66.5,,,742,12
6.5673923010661e+13,,2001,3,102,6,20202,2,,,,972,12
6.5673935010661e+13,,2001,3,103,3,20202,1,66.5,,,742,12
6.5673963010661e+13,,2001,3,103,4,20202,2,,,,972,12
6.5673977010661e+13,,2001,3,103,5,20202,1,5.6,,,972,12
6.5674001010661e+13,,2001,3,103,6,20202,1,40,,,742,12
6.5674028010661e+13,,2001,3,104,1,20202,1,9.3,,,972,12
6.5674047010661e+13,,2001,3,104,2,20202,2,,,,972,12
6.5674061010661e+13,,2001,3,104,3,20202,1,9.9,,,972,12
6.5674086010661e+13,,2001,3,104,4,20202,2,,,,972,12
6.5674097010661e+13,,2001,3,104,5,20202,1,66.5,,,742,12
6.5674123010661e+13,,2001,3,104,6,20202,2,,,,972,12
6.5674134010661e+13,,2001,3,105,2,20202,1,55.1,,,742,12
6.5674157010661e+13,,2001,3,105,5,20202,1,11,,,972,12
6.5674182010661e+13,,2001,3,105,6,20202,2,,,,972,12
6.5675549010661e+13,,2001,3,1,1,20207,1,8.2,55,55,701,12
6.5675555010661e+13,,2001,3,1,2,20207,2,9.5,59,14,746,12
6.5675564010661e+13,,2001,3,1,3,20207,1,8.2,56,56,746,12
6.5675572010661e+13,,2001,3,1,4,20207,2,11,62,49,833,12
6.5675580010661e+13,,2001,3,1,5,20207,1,3.4,32,,701,12
6.5675585010661e+13,,2001,3,1,6,20207,1,3,29,,701,12
6.5675600010661e+13,,2001,3,2,1,20207,1,7.9,59,59,746,12
6.5675606010661e+13,,2001,3,2,2,20207,1,11,52,52,833,12
6.5675613010661e+13,,2001,3,2,3,20207,1,12.9,91,91,833,12
6.5675619010661e+13,,2001,3,2,4,20207,1,10.6,77,77,375,12
6.5675624010661e+13,,2001,3,2,5,20207,1,7.2,51,51,375,12
6.5675632010661e+13,,2001,3,2,6,20207,1,5.8,51,51,375,12
6.5675639010661e+13,,2001,3,2,7,20207,1,6.3,54,54,375,12
6.5675645010661e+13,,2001,3,2,8,20207,1,6.5,41,41,701,12
6.5675653010661e+13,,2001,3,2,9,20207,2,7.4,53,46,375,12
6.5675659010661e+13,,2001,3,2,10,20207,1,5.7,34,34,375,12
6.5675668010661e+13,,2001,3,2,11,20207,1,8.9,52,52,375,12
6.5675679010661e+13,,2001,3,3,2,20207,1,11.9,99,99,746,12
6.5675595010661e+13,,2001,3,2,12,20207,1,9,52,52,375,12
6.5675590010661e+13,,2001,3,2,13,20207,1,4.6,38,,701,12
6.5675674010661e+13,,2001,3,3,1,20207,1,10.7,106,106,746,12
6.5675686010661e+13,,2001,3,3,3,20207,2,11.1,100,22,746,12
6.5675694010661e+13,,2001,3,3,4,20207,1,7.1,60,60,975,12
6.5675696010661e+13,,2001,3,3,5,20207,1,11.9,62,62,746,12
6.5675703010661e+13,,2001,3,3,6,20207,1,11.3,78,74,746,12
6.5675707010661e+13,,2001,3,3,7,20207,1,1.3,17,,701,12
6.5675712010661e+13,,2001,3,3,8,20207,1,4.2,36,,701,12
6.5675720010661e+13,,2001,3,3,9,20207,1,1.1,15,,701,12
6.5675724010661e+13,,2001,3,4,1,20207,1,9.1,52,52,318,12
6.5675728010661e+13,,2001,3,4,2,20207,1,5.7,54,54,701,12
6.5675736010661e+13,,2001,3,4,3,20207,1,2.9,29,,701,12
6.5675741010661e+13,,2001,3,4,4,20207,1,2.2,24,,701,12
6.5675744010661e+13,,2001,3,4,5,20207,1,4.9,40,,701,12
6.5675903010661e+13,,2001,3,3,1,20208,1,10,68,68,317,12
6.5675907010661e+13,,2001,3,3,2,20208,1,6.6,50,50,317,12
6.5675912010661e+13,,2001,3,3,3,20208,2,9.1,40,38,972,12
6.5675919010661e+13,,2001,3,3,4,20208,1,6.5,36,36,972,12
6.5675924010661e+13,,2001,3,3,5,20208,1,8,40,24,313,12
6.5675929010661e+13,,2001,3,3,6,20208,1,9.7,45,45,544,12
6.5675898010661e+13,,2001,3,3,7,20208,1,19.6,68,68,922,12
6.5675788010661e+13,,2001,3,3,8,20208,2,15.6,65,58,922,12
6.5675794010661e+13,,2001,3,3,9,20208,2,7.9,45,25,922,12
6.5675797010661e+13,,2001,3,3,10,20208,2,13.2,65,48,922,12
6.5675805010661e+13,,2001,3,3,11,20208,1,5.3,32,32,972,12
6.5675811010661e+13,,2001,3,3,12,20208,2,13.9,68,55,922,12
6.5675814010661e+13,,2001,3,3,13,20208,1,7.8,36,36,972,12
6.5675822010661e+13,,2001,3,3,14,20208,1,20.4,72,72,922,12
6.5675845010661e+13,,2001,3,3,18,20208,1,16.6,75,68,922,12
6.5675828010661e+13,,2001,3,3,15,20208,2,14.7,70,45,922,12
6.5675831010661e+13,,2001,3,3,16,20208,1,21.9,75,75,922,12
6.5675840010661e+13,,2001,3,3,17,20208,1,17.8,75,65,922,12
6.5675848010661e+13,,2001,3,3,19,20208,1,20.1,72,72,922,12
6.5675857010661e+13,,2001,3,3,20,20208,2,10.1,65,21,922,12
6.5675862010661e+13,,2001,3,3,21,20208,2,6.8,35,15,972,12
6.5675865010661e+13,,2001,3,3,22,20208,1,5.4,29,29,972,12
6.5675874010661e+13,,2001,3,3,23,20208,2,6.1,35,22,972,12
6.5675879010661e+13,,2001,3,3,24,20208,1,5.1,33,33,602,12
6.5675882010661e+13,,2001,3,3,25,20208,2,8.6,40,11,972,12
