"CN","PREV_TRE_CN","INVYR","UNITCD","SUBP","TREE","PLOT","STATUSCD","DIA","HT","ACTUALHT","SPCD","CYCLE"
6.5166584010661e+13,,2000,3,1,1,20070,1,23.7,52,52,823,12
6.5166586010661e+13,,2000,3,1,2,20070,1,5,35,35,68,12
6.5166588010661e+13,,2000,3,1,7,20070,1,5.7,37,37,68,12
6.5166590010661e+13,,2000,3,1,8,20070,1,16.8,66,66,823,12
6.5166598010661e+13,,2000,3,1,13,20070,1,5.4,34,34,68,12
6.5166592010661e+13,,2000,3,1,9,20070,1,16,69,69,951,12
6.5166594010661e+13,,2000,3,1,11,20070,2,5.2,38,22,68,12
6.5166596010661e+13,,2000,3,1,12,20070,1,5.2,41,41,951,12
6.5166600010661e+13,,2000,3,1,14,20070,1,1.4,17,,544,12
6.5166604010661e+13,,2000,3,1,15,20070,1,1.1,15,,762,12
6.5166608010661e+13,,2000,3,2,1,20070,1,8,41,41,313,12
6.5166610010661e+13,,2000,3,2,2,20070,1,12.4,43,43,313,12
6.5166612010661e+13,,2000,3,2,3,20070,1,8.4,35,35,313,12
6.5166614010661e+13,,2000,3,3,1,20070,1,17.3,53,53,823,12
6.5166617010661e+13,,2000,3,3,2,20070,1,7,38,38,68,12
6.5166624010661e+13,,2000,3,3,3,20070,1,5.8,35,35,701,12
6.5166626010661e+13,,2000,3,3,4,20070,1,22.2,63,63,823,12
6.5166628010661e+13,,2000,3,3,5,20070,1,7.4,37,37,68,12
6.5166630010661e+13,,2000,3,3,6,20070,1,5.2,35,35,701,12
6.5166644010661e+13,,2000,3,4,2,20070,1,5.9,29,29,68,12
6.5166632010661e+13,,2000,3,3,7,20070,1,2.9,22,,68,12
6.5166636010661e+13,,2000,3,3,8,20070,1,2.9,22,,68,12
6.5166642010661e+13,,2000,3,4,1,20070,1,6.8,35,30,68,12
6.5166646010661e+13,,2000,3,4,3,20070,1,5.9,45,45,68,12
6.5166648010661e+13,,2000,3,4,4,20070,1,7.6,43,43,68,12
6.5166650010661e+13,,2000,3,4,5,20070,1,5.9,39,39,68,12
6.5166652010661e+13,,2000,3,4,6,20070,1,5.1,36,36,68,12
6.5166654010661e+13,,2000,3,4,7,20070,1,6.4,30,30,68,12
6.5166656010661e+13,,2000,3,4,8,20070,1,5.6,33,33,68,12
6.5166472010661e+13,,2000,3,1,10,20151,1,6.8,36,36,544,12
6.5166474010661e+13,,2000,3,1,11,20151,1,5.9,36,36,462,12
6.5166476010661e+13,,2000,3,1,12,20151,1,8,45,45,951,12
6.5166478010661e+13,,2000,3,1,13,20151,1,14.6,49,49,313,12
6.5166480010661e+13,,2000,3,1,14,20151,1,13.2,49,49,544,12
6.5166482010661e+13,,2000,3,1,15,20151,2,5.1,38,6,972,12
6.5166485010661e+13,,2000,3,1,16,20151,1,7.4,37,37,544,12
6.5166490010661e+13,,2000,3,1,17,20151,1,5.9,27,25,544,12
6.5166492010661e+13,,2000,3,1,18,20151,1,1.1,15,,462,12
6.5166496010661e+13,,2000,3,3,1,20151,1,6.5,47,47,544,12
6.5166498010661e+13,,2000,3,3,2,20151,1,5.2,36,36,544,12
6.5166500010661e+13,,2000,3,3,3,20151,1,7,43,43,746,12
6.5166502010661e+13,,2000,3,3,4,20151,1,5.6,41,41,544,12
6.5166504010661e+13,,2000,3,3,5,20151,1,5.6,45,45,544,12
6.5166506010661e+13,,2000,3,3,6,20151,1,6.2,40,40,544,12
6.5166520010661e+13,,2000,3,3,10,20151,1,3,29,,462,12
6.5166508010661e+13,,2000,3,3,7,20151,1,6.2,34,34,68,12
6.5166510010661e+13,,2000,3,3,8,20151,1,7.4,47,47,544,12
6.5166512010661e+13,,2000,3,3,9,20151,1,3.7,33,,975,12
