"CN","PREV_TRE_CN","INVYR","UNITCD","SUBP","TREE","PLOT","STATUSCD","DIA","HT","ACTUALHT","SPCD","CYCLE"
6.8786249010661e+13,,2003,4,101,1,20190,0,,,,701,12
6.8786261010661e+13,,2003,4,101,2,20190,0,,,,701,12
6.8786273010661e+13,,2003,4,101,3,20190,0,,,,701,12
6.8786286010661e+13,,2003,4,101,4,20190,0,,,,318,12
6.8786298010661e+13,,2003,4,101,5,20190,0,,,,701,12
6.8786311010661e+13,,2003,4,101,6,20190,0,,,,701,12
6.8786323010661e+13,,2003,4,102,1,20190,0,,,,975,12
6.8786336010661e+13,,2003,4,102,2,20190,0,,,,975,12
6.8786349010661e+13,,2003,4,102,3,20190,0,,,,951,12
6.8786361010661e+13,,2003,4,102,4,20190,0,,,,951,12
6.8786375010661e+13,,2003,4,103,1,20190,0,,,,972,12
6.8786388010661e+13,,2003,4,103,2,20190,0,,,,544,12
6.8786400010661e+13,,2003,4,103,3,20190,0,,,,951,12
6.8786413010661e+13,,2003,4,103,4,20190,0,,,,544,12
6.8786426010661e+13,,2003,4,103,5,20190,0,,,,833,12
6.8786439010661e+13,,2003,4,103,6,20190,0,,,,544,12
6.8786452010661e+13,,2003,4,103,7,20190,0,,,,701,12
6.8786465010661e+13,,2003,4,103,8,20190,0,,,,701,12
6.8786478010661e+13,,2003,4,103,9,20190,0,,,,975,12
9.2337930010661e+13,6.4740636010661e+13,2004,4,1,7,20063,1,6.6,36,36,701,13
9.2337932010661e+13,,2004,4,1,8,20063,1,6.7,40,40,951,13
9.2337934010661e+13,,2004,4,1,9,20063,1,1.7,20,,701,13
9.2337936010661e+13,,2004,4,1,10,20063,1,1.5,18,,701,13
9.2337938010661e+13,,2004,4,1,11,20063,1,2.6,27,,701,13
9.2337940010661e+13,,2004,4,1,12,20063,1,2.3,24,,701,13
9.2337942010661e+13,,2004,4,1,13,20063,1,2.5,26,,701,13
9.2337944010661e+13,6.4740660010661e+13,2004,4,3,2,20063,1,5.3,30,30,701,13
9.2337946010661e+13,6.4740680010661e+13,2004,4,3,3,20063,1,6.8,32,32,701,13
9.2337948010661e+13,6.4740698010661e+13,2004,4,3,4,20063,1,10.2,36,36,701,13
9.2337950010661e+13,6.4740712010661e+13,2004,4,3,5,20063,1,7.5,44,44,462,13
9.2337952010661e+13,6.4740728010661e+13,2004,4,3,6,20063,2,9.7,56,34,601,13
9.2337954010661e+13,6.4740736010661e+13,2004,4,3,7,20063,2,12.9,65,48,601,13
9.2337956010661e+13,,2004,4,3,8,20063,1,5.4,36,36,701,13
9.2337958010661e+13,,2004,4,3,9,20063,1,2.7,27,,462,13
9.2337960010661e+13,6.4740752010661e+13,2004,4,4,1,20063,1,7,20,20,68,13
9.2337962010661e+13,,2004,4,4,3,20063,1,5.4,28,28,833,13
9.2337964010661e+13,,2004,4,4,4,20063,1,4.4,37,,833,13
9.2337966010661e+13,,2004,4,4,5,20063,1,1,14,,951,13
1.93854627010661e+14,,2008,4,3,1,20271,1,5.6,35,35,462,13
1.93854628010661e+14,,2008,4,3,2,20271,1,7.4,53,53,972,13
1.93854629010661e+14,,2008,4,3,3,20271,1,6.4,50,50,462,13
1.93854630010661e+14,,2008,4,3,4,20271,1,8.4,54,54,972,13
1.93854633010661e+14,,2008,4,3,5,20271,1,7.2,36,36,462,13
1.93854634010661e+14,,2008,4,3,6,20271,1,11.5,67,67,972,13
1.93854635010661e+14,,2008,4,3,7,20271,1,5.3,38,38,972,13
1.93854637010661e+14,,2008,4,3,8,20271,2,8.1,50,38,402,13
1.93854639010661e+14,,2008,4,3,9,20271,1,7.3,60,60,972,13
2.26409487010661e+14,9.2337930010661e+13,2009,4,1,7,20063,1,6.7,40,40,701,14
2.26409488010661e+14,9.2337932010661e+13,2009,4,1,8,20063,1,9,48,48,951,14
2.26409489010661e+14,9.2337934010661e+13,2009,4,1,9,20063,2,,,,701,14
2.26409490010661e+14,9.2337936010661e+13,2009,4,1,10,20063,2,,,,701,14
2.26409491010661e+14,9.2337938010661e+13,2009,4,1,11,20063,2,,,,701,14
2.26409492010661e+14,9.2337940010661e+13,2009,4,1,12,20063,2,,,,701,14
2.26409493010661e+14,9.2337942010661e+13,2009,4,1,13,20063,1,2.6,27,,701,14
2.26409494010661e+14,,2009,4,1,14,20063,1,5.8,40,40,762,14
2.26409495010661e+14,,2009,4,2,1,20063,1,1,14,,544,14
2.26409496010661e+14,9.2337944010661e+13,2009,4,3,2,20063,1,5.6,36,36,701,14
