"CN","PREV_TRE_CN","INVYR","UNITCD","SUBP","TREE","PLOT","STATUSCD","DIA","HT","ACTUALHT","SPCD","CYCLE"
6.5307535010661e+13,,2000,4,1,3,20126,1,7.1,36,36,823,12
6.5307543010661e+13,,2000,4,1,7,20126,1,5.6,38,38,823,12
6.5307537010661e+13,,2000,4,1,4,20126,1,10.2,46,46,746,12
6.5307539010661e+13,,2000,4,1,5,20126,1,9.6,48,48,746,12
6.5307541010661e+13,,2000,4,1,6,20126,1,8.6,46,46,746,12
6.5307545010661e+13,,2000,4,1,8,20126,1,12.8,44,44,746,12
6.5307547010661e+13,,2000,4,1,9,20126,1,1.1,15,,823,12
6.5307551010661e+13,,2000,4,1,10,20126,1,1.3,17,,823,12
6.5307555010661e+13,,2000,4,1,11,20126,1,1.5,18,,746,12
6.5307559010661e+13,,2000,4,2,1,20126,1,14.4,52,52,823,12
6.5307561010661e+13,,2000,4,2,2,20126,1,6.1,36,36,746,12
6.5307563010661e+13,,2000,4,2,3,20126,1,5.3,36,36,823,12
6.5307565010661e+13,,2000,4,3,1,20126,1,5.7,48,48,746,12
6.5307567010661e+13,,2000,4,3,2,20126,1,5,40,40,746,12
6.5307569010661e+13,,2000,4,3,3,20126,1,6,46,46,746,12
6.5307571010661e+13,,2000,4,3,4,20126,1,5.1,43,43,746,12
6.5307573010661e+13,,2000,4,3,5,20126,1,5.1,40,40,746,12
6.5307575010661e+13,,2000,4,3,6,20126,1,5.3,40,40,746,12
6.5307577010661e+13,,2000,4,3,7,20126,1,4.5,38,,746,12
6.5307581010661e+13,,2000,4,3,8,20126,1,4.6,38,,746,12
6.5307585010661e+13,,2000,4,4,1,20126,1,8.3,40,40,746,12
6.5307587010661e+13,,2000,4,4,2,20126,1,11.4,48,48,746,12
6.5307589010661e+13,,2000,4,4,3,20126,1,5.2,40,40,823,12
6.5307591010661e+13,,2000,4,4,4,20126,1,8.1,44,44,746,12
6.5307593010661e+13,,2000,4,4,5,20126,1,7,46,46,746,12
6.5307595010661e+13,,2000,4,4,6,20126,1,11.8,42,42,746,12
6.5307597010661e+13,,2000,4,4,7,20126,1,1.5,18,,823,12
6.5307601010661e+13,,2000,4,4,8,20126,1,1.5,18,,823,12
6.5307605010661e+13,,2000,4,4,9,20126,1,1.6,19,,823,12
6.5307609010661e+13,,2000,4,4,10,20126,1,2.1,23,,823,12
6.5307613010661e+13,,2000,4,4,11,20126,1,3.6,33,,746,12
6.5309662010661e+13,,2000,4,3,4,20164,1,9.1,40,40,746,12
6.5309664010661e+13,,2000,4,3,5,20164,1,8.4,40,40,746,12
6.5309656010661e+13,,2000,4,3,1,20164,1,7.9,35,35,746,12
6.5309658010661e+13,,2000,4,3,2,20164,1,7.3,40,40,746,12
6.5309660010661e+13,,2000,4,3,3,20164,2,5,37,32,746,12
6.5309666010661e+13,,2000,4,3,6,20164,1,5.4,34,34,746,12
6.5309668010661e+13,,2000,4,3,7,20164,1,9,40,40,746,12
6.5309670010661e+13,,2000,4,3,8,20164,1,7.3,38,38,746,12
6.5309380010661e+13,,2000,4,1,3,20181,1,6.2,44,44,746,12
6.5309382010661e+13,,2000,4,1,14,20181,1,6.5,40,40,746,12
6.5309384010661e+13,,2000,4,1,15,20181,1,6.4,40,40,746,12
6.5309386010661e+13,,2000,4,1,16,20181,1,6.8,40,40,746,12
6.5309388010661e+13,,2000,4,1,17,20181,1,5.9,38,38,746,12
6.5309390010661e+13,,2000,4,1,18,20181,1,5.5,40,40,746,12
6.5309392010661e+13,,2000,4,1,19,20181,1,1.3,17,,741,12
6.5309396010661e+13,,2000,4,1,20,20181,1,4.8,39,,746,12
6.5309400010661e+13,,2000,4,1,21,20181,1,3.6,33,,746,12
6.5309404010661e+13,,2000,4,2,1,20181,1,7.2,44,44,746,12
6.5309406010661e+13,,2000,4,2,2,20181,1,6.7,40,40,746,12
6.5309408010661e+13,,2000,4,2,3,20181,1,1.3,17,,746,12
6.5309412010661e+13,,2000,4,2,4,20181,1,1.6,19,,741,12
6.5309416010661e+13,,2000,4,2,5,20181,1,1.2,16,,746,12
6.5309420010661e+13,,2000,4,2,6,20181,1,1.2,16,,741,12
6.5309424010661e+13,,2000,4,2,7,20181,1,1.4,17,,746,12
6.5309428010661e+13,,2000,4,2,8,20181,1,1.4,17,,746,12
6.5309432010661e+13,,2000,4,2,9,20181,1,1.5,18,,746,12
6.5309436010661e+13,,2000,4,2,10,20181,1,1.7,20,,746,12
6.5309440010661e+13,,2000,4,2,11,20181,1,1.8,21,,746,12
6.5309444010661e+13,,2000,4,2,12,20181,1,1.5,18,,746,12
6.5309448010661e+13,,2000,4,2,13,20181,1,2,22,,746,12
6.5309452010661e+13,,2000,4,2,14,20181,1,1.3,17,,746,12
6.5309456010661e+13,,2000,4,2,15,20181,1,1.2,16,,746,12
6.5309460010661e+13,,2000,4,2,16,20181,1,1.2,16,,746,12
6.5309464010661e+13,,2000,4,2,17,20181,1,1.1,15,,741,12
6.5309480010661e+13,,2000,4,101,1,20181,2,,,,746,12
6.5309468010661e+13,,2000,4,2,18,20181,1,1.4,17,,746,12
6.5309472010661e+13,,2000,4,2,19,20181,1,1.2,16,,746,12
6.5309476010661e+13,,2000,4,2,20,20181,1,1.9,21,,746,12
6.5309487010661e+13,,2000,4,101,2,20181,1,3.2,,,741,12
6.5309494010661e+13,,2000,4,101,3,20181,1,6.2,,,746,12
6.5309504010661e+13,,2000,4,101,4,20181,2,,,,746,12
6.5309511010661e+13,,2000,4,101,5,20181,1,3,,,746,12
6.5309518010661e+13,,2000,4,101,6,20181,2,,,,746,12
6.5309525010661e+13,,2000,4,101,7,20181,1,3.1,,,741,12
6.5309532010661e+13,,2000,4,101,8,20181,2,,,,746,12
6.5309540010661e+13,,2000,4,101,9,20181,1,1.5,,,741,12
6.5309547010661e+13,,2000,4,101,10,20181,1,2.1,,,741,12
6.5309554010661e+13,,2000,4,101,11,20181,1,4.3,,,741,12
6.5309561010661e+13,,2000,4,101,12,20181,2,,,,741,12
6.5309568010661e+13,,2000,4,102,1,20181,2,,,,746,12
6.5309575010661e+13,,2000,4,102,2,20181,2,,,,741,12
6.5309582010661e+13,,2000,4,102,3,20181,2,,,,746,12
6.5309589010661e+13,,2000,4,102,4,20181,2,,,,746,12
6.5309596010661e+13,,2000,4,102,5,20181,1,4.9,,,746,12
6.5309603010661e+13,,2000,4,102,6,20181,2,,,,746,12
6.5309610010661e+13,,2000,4,102,7,20181,2,,,,746,12
6.5309617010661e+13,,2000,4,102,8,20181,2,,,,746,12
6.5308081010661e+13,,2000,4,3,1,20389,1,17.7,50,50,746,12
6.5308083010661e+13,,2000,4,3,2,20389,1,11.5,46,46,746,12
