"CN","PREV_TRE_CN","INVYR","UNITCD","SUBP","TREE","PLOT","STATUSCD","DIA","HT","ACTUALHT","SPCD","CYCLE"
6.5680056010661e+13,,2001,4,3,1,20024,1,7.2,34,34,313,12
6.5680058010661e+13,,2001,4,3,2,20024,1,9.8,45,15,833,12
6.5680060010661e+13,,2001,4,3,3,20024,2,10,50,11,833,12
6.5680062010661e+13,,2001,4,3,4,20024,1,21.3,65,65,823,12
6.5680064010661e+13,,2001,4,3,5,20024,1,18.1,60,30,313,12
6.5680066010661e+13,,2001,4,3,6,20024,1,12.1,36,36,313,12
6.5680068010661e+13,,2001,4,3,7,20024,1,6.1,30,30,313,12
6.5680070010661e+13,,2001,4,3,8,20024,1,6.6,32,32,313,12
6.5680072010661e+13,,2001,4,3,9,20024,1,10.1,45,30,313,12
6.5680074010661e+13,,2001,4,3,10,20024,1,13.4,70,70,762,12
6.5680076010661e+13,,2001,4,3,11,20024,1,9.9,55,55,972,12
6.5680138010661e+13,,2001,4,3,1,20088,2,6.7,50,15,762,12
6.5680140010661e+13,,2001,4,3,2,20088,2,11.3,75,12,746,12
6.5680142010661e+13,,2001,4,3,3,20088,1,26.6,75,75,802,12
6.5680144010661e+13,,2001,4,3,4,20088,1,15.8,95,95,762,12
6.5680146010661e+13,,2001,4,4,1,20088,1,17.5,100,100,742,12
6.5680148010661e+13,,2001,4,4,2,20088,1,31.8,105,105,742,12
6.5680150010661e+13,,2001,4,4,3,20088,1,8.3,50,26,742,12
6.5680152010661e+13,,2001,4,4,4,20088,2,13,85,80,742,12
6.5680154010661e+13,,2001,4,4,5,20088,1,17.1,100,100,742,12
6.5680156010661e+13,,2001,4,4,6,20088,1,20.6,100,100,742,12
6.5680158010661e+13,,2001,4,4,7,20088,1,27.2,110,110,742,12
6.5680166010661e+13,,2001,4,4,11,20088,2,10.6,70,23,742,12
6.5680160010661e+13,,2001,4,4,8,20088,1,25.6,105,105,742,12
6.5680162010661e+13,,2001,4,4,9,20088,2,10,50,18,742,12
6.5680164010661e+13,,2001,4,4,10,20088,1,17.6,100,55,742,12
6.5680168010661e+13,,2001,4,4,12,20088,1,9.3,35,35,742,12
6.5680170010661e+13,,2001,4,4,13,20088,1,16.1,100,100,742,12
6.5680172010661e+13,,2001,4,4,14,20088,1,3,29,,802,12
6.5680174010661e+13,,2001,4,4,15,20088,1,2.2,24,,802,12
6.8687047010661e+13,,2003,4,1,1,20056,1,10.4,44,44,746,12
6.8687049010661e+13,,2003,4,1,2,20056,1,5.7,37,37,746,12
6.8687051010661e+13,,2003,4,1,3,20056,1,2.7,27,,746,12
6.8687053010661e+13,,2003,4,1,4,20056,1,4.4,37,,746,12
6.8687055010661e+13,,2003,4,1,5,20056,1,2.6,27,,746,12
6.8687057010661e+13,,2003,4,1,6,20056,1,1.6,19,,313,12
6.8687059010661e+13,,2003,4,2,1,20056,1,5.8,30,30,313,12
6.8687061010661e+13,,2003,4,2,2,20056,1,1.9,21,,766,12
6.8687063010661e+13,,2003,4,2,3,20056,1,1.8,21,,766,12
6.8687065010661e+13,,2003,4,2,4,20056,1,2.7,27,,313,12
6.8687077010661e+13,,2003,4,4,1,20056,1,5.7,32,32,762,12
6.8687079010661e+13,,2003,4,4,2,20056,1,12.9,71,71,602,12
6.8687081010661e+13,,2003,4,4,3,20056,1,6.2,43,43,762,12
6.8687083010661e+13,,2003,4,4,4,20056,1,5.7,29,29,762,12
6.8687067010661e+13,,2003,4,101,1,20056,1,10.4,,,746,12
1.04449431010661e+14,6.5680056010661e+13,2006,4,3,1,20024,1,7.4,38,38,313,13
1.04449433010661e+14,6.5680058010661e+13,2006,4,3,2,20024,1,9.9,68,24,833,13
1.04449435010661e+14,6.5680060010661e+13,2006,4,3,3,20024,2,,,,833,13
1.04449437010661e+14,6.5680062010661e+13,2006,4,3,4,20024,1,21.5,72,72,823,13
1.04449439010661e+14,6.5680064010661e+13,2006,4,3,5,20024,2,18.3,76,48,313,13
1.04449441010661e+14,6.5680066010661e+13,2006,4,3,6,20024,1,12.5,44,44,313,13
1.04449443010661e+14,6.5680068010661e+13,2006,4,3,7,20024,1,6.3,32,32,313,13
1.04449445010661e+14,6.5680070010661e+13,2006,4,3,8,20024,1,6.3,34,34,313,13
1.04449483010661e+14,,2006,4,1,1,20088,1,6.1,28,28,313,13
1.04449447010661e+14,6.5680072010661e+13,2006,4,3,9,20024,1,10.3,44,44,313,13
1.04449449010661e+14,6.5680074010661e+13,2006,4,3,10,20024,1,13.6,74,74,762,13
1.04449451010661e+14,6.5680076010661e+13,2006,4,3,11,20024,1,11.8,51,51,972,13
1.04449485010661e+14,6.5680138010661e+13,2006,4,3,1,20088,2,6.7,45,14,762,13
1.04449487010661e+14,6.5680140010661e+13,2006,4,3,2,20088,2,11.3,61,9,746,13
1.04449489010661e+14,6.5680142010661e+13,2006,4,3,3,20088,1,27.1,80,80,802,13
1.04449491010661e+14,6.5680144010661e+13,2006,4,3,4,20088,1,15.8,80,80,762,13
1.04449493010661e+14,6.5680146010661e+13,2006,4,4,1,20088,1,17.5,84,84,742,13
1.04449495010661e+14,6.5680148010661e+13,2006,4,4,2,20088,1,32.9,86,86,742,13
1.04449497010661e+14,6.5680150010661e+13,2006,4,4,3,20088,2,,,,742,13
1.04449499010661e+14,6.5680152010661e+13,2006,4,4,4,20088,2,13,65,58,742,13
1.04449501010661e+14,6.5680154010661e+13,2006,4,4,5,20088,1,17.5,82,82,742,13
1.04449503010661e+14,6.5680156010661e+13,2006,4,4,6,20088,1,22.1,84,84,742,13
1.04449505010661e+14,6.5680158010661e+13,2006,4,4,7,20088,1,28.4,86,86,742,13
1.04449507010661e+14,6.5680160010661e+13,2006,4,4,8,20088,1,27,84,84,742,13
1.04449509010661e+14,6.5680162010661e+13,2006,4,4,9,20088,2,10,57,14,742,13
1.04449511010661e+14,6.5680164010661e+13,2006,4,4,10,20088,1,17.5,52,52,742,13
1.04449513010661e+14,6.5680166010661e+13,2006,4,4,11,20088,2,10.6,59,12,742,13
1.04449519010661e+14,6.5680172010661e+13,2006,4,4,14,20088,2,,,,802,13
1.04449521010661e+14,6.5680174010661e+13,2006,4,4,15,20088,2,,,,802,13
1.04449515010661e+14,6.5680168010661e+13,2006,4,4,12,20088,2,9.3,55,28,742,13
1.04449517010661e+14,6.5680170010661e+13,2006,4,4,13,20088,1,16.2,58,58,742,13
