"PLOT_UNIQUE_ID","MEASYEAR","n_saplings","n_new_saplings","n_sapling_saplings","n_saplings_to_trees","n_saplings_died","n_saplings_removed","n_saplings_not_sampled","n_saplings_vanish_next","n_saplings_not_measured","n_saplings_previous","n_saplings_vanished_last","prev_MEASYEAR","first_MEASYEAR","last_MEASYEAR","is_first_MEASYEAR","is_last_MEASYEAR","n_saplings_died_or_gone","n_sapling_saplings_prop","n_saplings_to_trees_prop","n_saplings_died_or_gone_prop","n_saplings_removed_prop","saplings_second_total","prop_sums"
"9_1_15_477",2021,4,4,0,0,0,0,0,4,0,0,0,2015,2005,2021,FALSE,TRUE,0,NA,NA,NA,NA,4,NA
"9_1_15_505",2009,12,0,12,0,0,0,0,0,0,12,0,2003,2003,2020,FALSE,FALSE,0,1,0,0,0,12,1
"9_1_15_505",2013,11,0,11,0,1,0,0,0,0,12,0,2009,2003,2020,FALSE,FALSE,1,0.916666666666667,0,0.0833333333333333,0,11,1
"9_1_15_505",2020,8,0,8,0,3,0,0,8,0,11,0,2013,2003,2020,FALSE,TRUE,3,0.727272727272727,0,0.272727272727273,0,8,1
"9_1_15_507",2009,8,1,7,0,0,0,0,0,0,7,0,2003,2003,2020,FALSE,FALSE,0,1,0,0,0,8,1
"9_1_15_507",2013,8,0,8,0,0,0,0,0,0,8,0,2009,2003,2020,FALSE,FALSE,0,1,0,0,0,8,1
"9_1_15_507",2020,8,0,8,0,0,0,0,8,0,8,0,2013,2003,2020,FALSE,TRUE,0,1,0,0,0,8,1
"9_1_15_524",2012,1,0,1,0,0,0,0,0,0,1,0,2007,2007,2019,FALSE,FALSE,0,1,0,0,0,1,1
"9_1_15_524",2019,2,1,1,0,0,0,0,2,0,1,0,2012,2007,2019,FALSE,TRUE,0,1,0,0,0,2,1
"9_1_15_535",2010,5,0,5,0,0,0,0,0,0,5,0,2005,2005,2016,FALSE,FALSE,0,1,0,0,0,5,1
"9_1_15_535",2016,4,0,4,0,1,0,0,4,0,5,0,2010,2005,2016,FALSE,TRUE,1,0.8,0,0.2,0,4,1
"9_1_15_541",2009,5,4,1,1,2,0,0,0,0,4,0,2003,2003,2020,FALSE,FALSE,2,0.25,0.25,0.5,0,5,1
"9_1_15_541",2013,12,8,4,0,1,0,0,0,0,5,0,2009,2003,2020,FALSE,FALSE,1,0.8,0,0.2,0,12,1
"9_1_15_541",2020,19,10,9,0,3,0,0,20,0,12,0,2013,2003,2020,FALSE,TRUE,3,0.75,0,0.25,0,19,1
"9_1_15_580",2011,5,0,5,0,0,0,0,0,0,5,0,2007,2007,2017,FALSE,FALSE,0,1,0,0,0,5,1
"9_1_15_580",2017,5,0,5,0,0,0,0,5,0,5,0,2011,2007,2017,FALSE,TRUE,0,1,0,0,0,5,1
"9_1_15_583",2009,1,0,1,0,0,0,0,0,0,1,0,2004,2004,2021,FALSE,FALSE,0,1,0,0,0,1,1
"9_1_15_583",2014,1,0,1,0,0,0,0,0,0,1,0,2009,2004,2021,FALSE,FALSE,0,1,0,0,0,1,1
"9_1_15_583",2021,0,0,0,0,1,0,0,1,0,1,0,2014,2004,2021,FALSE,TRUE,1,0,0,1,0,0,1
"9_1_15_584",2010,0,0,0,0,0,0,2,0,0,2,0,2005,2005,2015,FALSE,FALSE,0,0,0,0,0,0,0
"9_1_15_584",2015,9,9,0,0,0,0,0,9,0,0,0,2010,2005,2015,FALSE,TRUE,0,NA,NA,NA,NA,9,NA
"9_1_15_606",2018,1,0,1,0,1,0,0,2,0,2,0,2013,2013,2018,FALSE,TRUE,1,0.5,0,0.5,0,1,1
"9_1_15_619",2009,7,1,6,0,0,0,0,0,0,6,0,2003,2003,2020,FALSE,FALSE,0,1,0,0,0,7,1
"9_1_15_619",2013,8,2,6,0,1,0,0,0,0,7,0,2009,2003,2020,FALSE,FALSE,1,0.857142857142857,0,0.142857142857143,0,8,1
"9_1_15_619",2020,7,0,7,0,1,0,0,7,0,8,0,2013,2003,2020,FALSE,TRUE,1,0.875,0,0.125,0,7,1
"9_1_15_625",2013,5,1,4,0,0,0,0,0,0,4,0,2008,2008,2020,FALSE,FALSE,0,1,0,0,0,5,1
"9_1_15_625",2020,3,1,2,0,3,0,0,4,0,5,0,2013,2008,2020,FALSE,TRUE,3,0.4,0,0.6,0,3,1
"9_1_15_649",2010,4,0,4,0,0,0,0,0,0,4,0,2005,2005,2021,FALSE,FALSE,0,1,0,0,0,4,1
"9_1_15_649",2014,4,0,4,0,0,0,0,0,0,4,0,2010,2005,2021,FALSE,FALSE,0,1,0,0,0,4,1
"9_1_15_649",2021,0,0,0,0,2,0,2,1,0,4,0,2014,2005,2021,FALSE,TRUE,2,0,0,0.5,0,0,0.5
"9_1_15_65",2009,4,0,4,0,2,0,0,0,0,6,0,2003,2003,2020,FALSE,FALSE,2,0.666666666666667,0,0.333333333333333,0,4,1
"9_1_15_65",2013,5,1,4,0,0,0,0,0,0,4,0,2009,2003,2020,FALSE,FALSE,0,1,0,0,0,5,1
"9_1_15_65",2020,0,0,0,0,0,0,5,0,0,5,0,2013,2003,2020,FALSE,TRUE,0,0,0,0,0,0,0
"9_1_15_657",2009,5,0,5,0,6,0,0,0,0,11,0,2003,2003,2019,FALSE,FALSE,6,0.454545454545455,0,0.545454545454545,0,5,1
"9_1_15_657",2013,4,0,4,0,1,0,0,0,0,5,0,2009,2003,2019,FALSE,FALSE,1,0.8,0,0.2,0,4,1
"9_1_15_657",2019,0,0,0,0,0,0,4,0,0,4,0,2013,2003,2019,FALSE,TRUE,0,0,0,0,0,0,0
"9_1_15_688",2012,11,0,11,0,3,0,0,0,0,14,0,2007,2007,2020,FALSE,FALSE,3,0.785714285714286,0,0.214285714285714,0,11,1
"9_1_15_688",2020,9,0,9,0,2,0,0,9,0,11,0,2012,2007,2020,FALSE,TRUE,2,0.818181818181818,0,0.181818181818182,0,9,1
"9_1_15_86",2018,0,0,0,0,0,0,3,0,0,3,0,2013,2013,2018,FALSE,TRUE,0,0,0,0,0,0,0
"9_1_1_112",2008,4,0,4,0,2,0,0,0,0,6,0,2003,2003,2019,FALSE,FALSE,2,0.666666666666667,0,0.333333333333333,0,4,1
"9_1_1_112",2013,3,0,3,0,1,0,0,0,0,4,0,2008,2003,2019,FALSE,FALSE,1,0.75,0,0.25,0,3,1
"9_1_1_112",2019,3,0,3,0,0,0,0,3,0,3,0,2013,2003,2019,FALSE,TRUE,0,1,0,0,0,3,1
"9_1_1_154",2021,0,0,0,0,1,0,0,0,0,1,0,2014,2014,2021,FALSE,TRUE,1,0,0,1,0,0,1
"9_1_1_235",2009,2,0,2,0,0,0,0,0,0,2,0,2005,2005,2021,FALSE,FALSE,0,1,0,0,0,2,1
"9_1_1_235",2014,2,0,2,0,0,0,0,0,0,2,0,2009,2005,2021,FALSE,FALSE,0,1,0,0,0,2,1
"9_1_1_235",2021,1,0,1,0,1,0,0,1,0,2,0,2014,2005,2021,FALSE,TRUE,1,0.5,0,0.5,0,1,1
"9_1_1_247",2012,1,0,1,0,0,0,0,0,0,1,0,2007,2007,2018,FALSE,FALSE,0,1,0,0,0,1,1
"9_1_1_247",2018,0,0,0,0,1,0,0,0,0,1,0,2012,2007,2018,FALSE,TRUE,1,0,0,1,0,0,1
"9_1_1_26",2009,2,0,2,0,1,0,0,0,0,3,0,2005,2005,2015,FALSE,FALSE,1,0.666666666666667,0,0.333333333333333,0,2,1
"9_1_1_26",2015,1,0,1,0,1,0,0,1,0,2,0,2009,2005,2015,FALSE,TRUE,1,0.5,0,0.5,0,1,1
"9_1_1_293",2012,1,0,1,0,0,0,0,0,0,1,0,2008,2008,2018,FALSE,FALSE,0,1,0,0,0,1,1
"9_1_1_293",2018,1,0,1,0,0,0,0,1,0,1,0,2012,2008,2018,FALSE,TRUE,0,1,0,0,0,1,1
"9_1_1_310",2012,1,0,1,0,0,0,0,0,0,1,0,2008,2008,2017,FALSE,FALSE,0,1,0,0,0,1,1
"9_1_1_310",2017,1,0,1,0,0,0,0,1,0,1,0,2012,2008,2017,FALSE,TRUE,0,1,0,0,0,1,1
"9_1_1_319",2012,1,0,1,0,3,0,0,0,0,4,0,2006,2006,2016,FALSE,FALSE,3,0.25,0,0.75,0,1,1
"9_1_1_319",2016,1,0,1,0,0,0,0,1,0,1,0,2012,2006,2016,FALSE,TRUE,0,1,0,0,0,1,1
"9_1_1_373",2008,1,0,1,0,1,0,0,0,0,2,0,2003,2003,2021,FALSE,FALSE,1,0.5,0,0.5,0,1,1
"9_1_1_373",2013,1,0,1,0,0,0,0,0,0,1,0,2008,2003,2021,FALSE,FALSE,0,1,0,0,0,1,1
"9_1_1_373",2021,0,0,0,0,1,0,0,1,0,1,0,2013,2003,2021,FALSE,TRUE,1,0,0,1,0,0,1
"9_1_1_423",2011,4,0,4,0,0,0,0,0,0,4,0,2007,2007,2018,FALSE,FALSE,0,1,0,0,0,4,1
"9_1_1_423",2018,3,0,3,0,1,0,0,3,0,4,0,2011,2007,2018,FALSE,TRUE,1,0.75,0,0.25,0,3,1
"9_1_1_447",2012,3,0,3,0,0,0,0,0,0,3,0,2008,2008,2019,FALSE,FALSE,0,1,0,0,0,3,1
"9_1_1_447",2019,2,0,2,0,1,0,0,2,0,3,0,2012,2008,2019,FALSE,TRUE,1,0.666666666666667,0,0.333333333333333,0,2,1
"9_1_1_478",2008,1,0,1,0,1,0,0,0,0,2,0,2003,2003,2019,FALSE,FALSE,1,0.5,0,0.5,0,1,1
"9_1_1_478",2013,1,0,1,0,0,0,0,0,0,1,0,2008,2003,2019,FALSE,FALSE,0,1,0,0,0,1,1
"9_1_1_478",2019,1,0,1,0,0,0,0,1,0,1,0,2013,2003,2019,FALSE,TRUE,0,1,0,0,0,1,1
"9_1_1_486",2010,2,0,2,0,0,0,0,0,0,2,0,2006,2006,2016,FALSE,FALSE,0,1,0,0,0,2,1
"9_1_1_486",2016,1,0,1,0,1,0,0,1,0,2,0,2010,2006,2016,FALSE,TRUE,1,0.5,0,0.5,0,1,1
"9_1_1_492",2009,1,0,1,0,0,0,0,0,0,1,0,2005,2005,2015,FALSE,FALSE,0,1,0,0,0,1,1
"9_1_1_492",2015,1,0,1,0,0,0,0,1,0,1,0,2009,2005,2015,FALSE,TRUE,0,1,0,0,0,1,1
"9_1_1_536",2010,3,0,3,0,1,0,0,0,0,4,0,2005,2005,2021,FALSE,FALSE,1,0.75,0,0.25,0,3,1
"9_1_1_536",2014,3,0,3,0,0,0,0,0,0,3,0,2010,2005,2021,FALSE,FALSE,0,1,0,0,0,3,1
"9_1_1_536",2021,2,0,2,0,1,0,0,3,0,3,0,2014,2005,2021,FALSE,TRUE,1,0.666666666666667,0,0.333333333333333,0,2,1
"9_1_1_542",2021,4,1,3,0,1,0,0,4,0,4,0,2014,2014,2021,FALSE,TRUE,1,0.75,0,0.25,0,4,1
"9_1_1_586",2012,3,0,3,0,1,0,0,0,0,4,0,2008,2008,2018,FALSE,FALSE,1,0.75,0,0.25,0,3,1
"9_1_1_586",2018,2,0,2,0,1,0,0,2,0,3,0,2012,2008,2018,FALSE,TRUE,1,0.666666666666667,0,0.333333333333333,0,2,1
"9_1_1_595",2009,3,0,3,0,1,0,0,0,0,4,0,2005,2005,2021,FALSE,FALSE,1,0.75,0,0.25,0,3,1
"9_1_1_595",2014,3,0,3,0,0,0,0,0,0,3,0,2009,2005,2021,FALSE,FALSE,0,1,0,0,0,3,1
"9_1_1_595",2021,2,0,2,0,1,0,0,3,0,3,0,2014,2005,2021,FALSE,TRUE,1,0.666666666666667,0,0.333333333333333,0,2,1
"9_1_1_614",2012,1,0,1,0,0,0,0,0,0,1,0,2007,2007,2019,FALSE,FALSE,0,1,0,0,0,1,1
"9_1_1_614",2019,0,0,0,0,0,0,1,0,0,1,0,2012,2007,2019,FALSE,TRUE,0,0,0,0,0,0,0
"9_1_1_63",2010,5,0,5,0,0,0,0,0,0,5,0,2006,2006,2015,FALSE,FALSE,0,1,0,0,0,5,1
"9_1_1_63",2015,4,0,4,0,1,0,0,4,0,5,0,2010,2006,2015,FALSE,TRUE,1,0.8,0,0.2,0,4,1
"9_1_1_640",2014,2,0,2,0,0,0,0,0,0,2,0,2010,2010,2021,FALSE,FALSE,0,1,0,0,0,2,1
"9_1_1_640",2021,2,0,2,0,0,0,0,2,0,2,0,2014,2010,2021,FALSE,TRUE,0,1,0,0,0,2,1
"9_1_1_658",2010,0,0,0,0,0,0,2,0,0,2,0,2006,2006,2010,FALSE,TRUE,0,0,0,0,0,0,0
"9_1_1_664",2010,4,0,4,0,0,0,0,0,0,4,0,2006,2006,2016,FALSE,FALSE,0,1,0,0,0,4,1
"9_1_1_664",2016,1,0,1,0,3,0,0,2,0,4,0,2010,2006,2016,FALSE,TRUE,3,0.25,0,0.75,0,1,1
"9_1_1_74",2012,2,0,2,0,0,0,0,0,0,2,0,2008,2008,2019,FALSE,FALSE,0,1,0,0,0,2,1
"9_1_1_74",2019,0,0,0,0,0,0,2,0,0,2,0,2012,2008,2019,FALSE,TRUE,0,0,0,0,0,0,0
"9_1_1_85",2011,5,0,5,0,1,0,0,0,0,6,0,2006,2006,2018,FALSE,FALSE,1,0.833333333333333,0,0.166666666666667,0,5,1
"9_1_1_85",2018,6,2,4,0,1,0,0,6,0,5,0,2011,2006,2018,FALSE,TRUE,1,0.8,0,0.2,0,6,1
"9_1_3_137",2018,4,3,1,0,1,0,0,4,0,2,0,2012,2012,2018,FALSE,TRUE,1,0.5,0,0.5,0,4,1
"9_1_3_147",2011,3,0,3,0,0,0,0,0,0,3,0,2007,2007,2017,FALSE,FALSE,0,1,0,0,0,3,1
"9_1_3_147",2017,2,0,2,0,0,0,0,2,1,3,0,2011,2007,2017,FALSE,TRUE,0,0.666666666666667,0,0,0,2,0.666666666666667
"9_1_3_15",2009,4,0,4,0,0,0,0,0,0,4,0,2005,2005,2015,FALSE,FALSE,0,1,0,0,0,4,1
"9_1_3_15",2015,6,2,4,0,0,0,0,6,0,4,0,2009,2005,2015,FALSE,TRUE,0,1,0,0,0,6,1
"9_1_3_161",2012,9,0,9,2,0,2,0,0,0,13,0,2008,2008,2018,FALSE,FALSE,0,0.692307692307692,0.153846153846154,0,0.153846153846154,9,1
"9_1_3_161",2018,0,0,0,0,0,0,9,0,0,9,0,2012,2008,2018,FALSE,TRUE,0,0,0,0,0,0,0
"9_1_3_165",2008,3,1,2,0,0,0,0,0,0,2,0,2003,2003,2021,FALSE,FALSE,0,1,0,0,0,3,1
"9_1_3_165",2013,3,0,3,0,0,0,0,0,0,3,0,2008,2003,2021,FALSE,FALSE,0,1,0,0,0,3,1
"9_1_3_165",2021,3,0,3,0,0,0,0,3,0,3,0,2013,2003,2021,FALSE,TRUE,0,1,0,0,0,3,1
"9_1_3_174",2009,5,0,5,0,1,0,0,0,0,6,0,2005,2005,2021,FALSE,FALSE,1,0.833333333333333,0,0.166666666666667,0,5,1
"9_1_3_174",2014,0,0,0,0,0,0,5,0,0,5,0,2009,2005,2021,FALSE,FALSE,0,0,0,0,0,0,0
"9_1_3_174",2021,2,2,0,0,0,0,0,3,0,0,0,2014,2005,2021,FALSE,TRUE,0,NA,NA,NA,NA,2,NA
"9_1_3_189",2009,8,0,8,1,1,0,0,0,0,10,0,2005,2005,2015,FALSE,FALSE,1,0.8,0.1,0.1,0,8,1
"9_1_3_189",2015,8,0,8,0,0,0,0,8,0,8,0,2009,2005,2015,FALSE,TRUE,0,1,0,0,0,8,1
"9_1_3_193",2010,4,0,4,2,2,13,0,0,0,21,0,2006,2006,2015,FALSE,FALSE,2,0.19047619047619,0.0952380952380952,0.0952380952380952,0.619047619047619,4,1
"9_1_3_193",2015,4,0,4,0,0,0,0,4,0,4,0,2010,2006,2015,FALSE,TRUE,0,1,0,0,0,4,1
"9_1_3_200",2010,0,0,0,0,0,0,3,0,0,3,0,2004,2004,2015,FALSE,FALSE,0,0,0,0,0,0,0
