"CN","PREV_TRE_CN","INVYR","UNITCD","SUBP","TREE","PLOT","STATUSCD","DIA","HT","ACTUALHT","SPCD","CYCLE"
6.5127195010661e+13,,2000,4,1,2,20008,1,11.1,48,48,746,12
6.5127197010661e+13,,2000,4,1,3,20008,1,6.2,38,38,746,12
6.5127199010661e+13,,2000,4,1,4,20008,1,8.5,36,36,746,12
6.5127201010661e+13,,2000,4,1,5,20008,1,6.3,38,38,746,12
6.5127203010661e+13,,2000,4,1,6,20008,1,2.3,24,,746,12
6.5127207010661e+13,,2000,4,2,1,20008,1,10.3,46,46,746,12
6.5127209010661e+13,,2000,4,2,2,20008,1,10.1,48,48,746,12
6.5127211010661e+13,,2000,4,2,3,20008,1,6,36,36,746,12
6.5127213010661e+13,,2000,4,2,4,20008,1,9.8,50,50,746,12
6.5127215010661e+13,,2000,4,2,5,20008,1,9.8,50,50,746,12
6.5127223010661e+13,,2000,4,4,3,20008,1,5.4,38,38,741,12
6.5127217010661e+13,,2000,4,2,6,20008,1,6.7,30,30,746,12
6.5127219010661e+13,,2000,4,4,1,20008,1,5.9,34,34,741,12
6.5127221010661e+13,,2000,4,4,2,20008,1,5.1,40,40,741,12
6.5127225010661e+13,,2000,4,4,4,20008,1,6.3,44,44,741,12
6.5127227010661e+13,,2000,4,4,5,20008,1,3.1,30,,741,12
6.5127231010661e+13,,2000,4,4,6,20008,1,3.3,31,,741,12
6.5127235010661e+13,,2000,4,4,7,20008,1,2.5,26,,741,12
6.5127239010661e+13,,2000,4,4,8,20008,1,2.7,27,,741,12
6.5127243010661e+13,,2000,4,4,9,20008,1,1.2,16,,741,12
6.5127247010661e+13,,2000,4,4,10,20008,1,2.1,23,,741,12
6.5126116010661e+13,,2000,4,1,6,20062,1,5.7,48,48,746,12
6.5126118010661e+13,,2000,4,1,7,20062,1,5.6,46,46,746,12
6.5126120010661e+13,,2000,4,1,8,20062,1,7.6,52,52,746,12
6.5126122010661e+13,,2000,4,1,9,20062,1,6.1,46,46,746,12
6.5126124010661e+13,,2000,4,1,10,20062,1,5.9,48,48,746,12
6.5126126010661e+13,,2000,4,1,11,20062,1,5.6,44,44,741,12
6.5126128010661e+13,,2000,4,1,12,20062,1,7.8,52,52,746,12
6.5126130010661e+13,,2000,4,1,13,20062,1,6.2,46,46,746,12
6.5126132010661e+13,,2000,4,1,14,20062,1,3.7,33,,746,12
6.5126136010661e+13,,2000,4,1,15,20062,1,4,35,,746,12
6.5126140010661e+13,,2000,4,1,16,20062,1,4.7,39,,746,12
6.5126144010661e+13,,2000,4,2,1,20062,1,5.8,48,48,746,12
6.5126146010661e+13,,2000,4,2,2,20062,1,5,46,46,746,12
6.5126148010661e+13,,2000,4,2,3,20062,1,6.2,46,46,746,12
6.5126150010661e+13,,2000,4,2,4,20062,1,7.2,50,50,746,12
6.5126169010661e+13,,2000,4,2,8,20062,1,5.3,46,46,746,12
6.5126154010661e+13,,2000,4,2,5,20062,1,6.5,48,48,746,12
6.5126158010661e+13,,2000,4,2,6,20062,1,5.4,48,48,746,12
6.5126163010661e+13,,2000,4,2,7,20062,1,7.3,50,50,746,12
6.5126174010661e+13,,2000,4,2,9,20062,1,5.9,46,46,746,12
6.5126178010661e+13,,2000,4,2,10,20062,1,5,48,48,746,12
6.5126182010661e+13,,2000,4,2,11,20062,1,6.3,44,44,746,12
6.5126187010661e+13,,2000,4,2,12,20062,1,2.8,28,,746,12
6.5126192010661e+13,,2000,4,2,13,20062,1,2.2,24,,746,12
6.5126196010661e+13,,2000,4,2,14,20062,1,4.9,40,,746,12
6.5126200010661e+13,,2000,4,3,1,20062,1,5.7,46,46,746,12
6.5126202010661e+13,,2000,4,3,2,20062,1,5.2,46,46,746,12
6.5126204010661e+13,,2000,4,3,3,20062,1,8.3,50,50,746,12
6.5126206010661e+13,,2000,4,3,4,20062,1,6.5,50,50,746,12
6.5126209010661e+13,,2000,4,3,5,20062,1,5.6,44,44,746,12
6.5126211010661e+13,,2000,4,3,6,20062,1,5.6,44,44,746,12
6.5126213010661e+13,,2000,4,3,7,20062,1,5.5,46,46,746,12
6.5126215010661e+13,,2000,4,3,8,20062,1,5.7,48,48,746,12
6.5126217010661e+13,,2000,4,3,9,20062,1,5.9,44,44,746,12
6.5126219010661e+13,,2000,4,3,10,20062,1,5.6,46,46,746,12
6.5126221010661e+13,,2000,4,3,11,20062,1,6.2,44,44,746,12
6.5126223010661e+13,,2000,4,3,12,20062,1,6.1,46,46,746,12
6.5126225010661e+13,,2000,4,3,13,20062,1,6,44,44,746,12
6.5126227010661e+13,,2000,4,4,1,20062,1,6.1,46,46,746,12
6.5126229010661e+13,,2000,4,4,2,20062,1,6.7,46,46,746,12
6.5126231010661e+13,,2000,4,4,3,20062,1,5.2,42,42,746,12
6.5126233010661e+13,,2000,4,4,4,20062,1,5.7,42,42,746,12
6.5126235010661e+13,,2000,4,4,5,20062,1,5.4,44,44,746,12
6.5126237010661e+13,,2000,4,4,6,20062,1,5.8,48,48,746,12
6.5126239010661e+13,,2000,4,4,7,20062,1,5.4,46,46,746,12
6.5126247010661e+13,,2000,4,4,11,20062,1,6,46,46,746,12
6.5126241010661e+13,,2000,4,4,8,20062,1,5.2,46,46,746,12
6.5126243010661e+13,,2000,4,4,9,20062,1,5.5,42,42,746,12
6.5126245010661e+13,,2000,4,4,10,20062,1,6.2,50,50,746,12
6.5126249010661e+13,,2000,4,4,12,20062,1,5.5,46,46,746,12
6.5126251010661e+13,,2000,4,4,13,20062,1,5.6,48,48,746,12
6.5126253010661e+13,,2000,4,4,14,20062,1,5.1,44,44,746,12
