"CN","PREV_TRE_CN","INVYR","UNITCD","SUBP","TREE","PLOT","STATUSCD","DIA","HT","ACTUALHT","SPCD","CYCLE"
6.5274658010661e+13,,2000,3,1,2,20046,1,16.8,79,79,318,12
6.5274660010661e+13,,2000,3,1,3,20046,1,8.5,52,52,318,12
6.5274662010661e+13,,2000,3,1,4,20046,1,21.3,81,81,318,12
6.5274664010661e+13,,2000,3,1,5,20046,1,10.2,67,67,318,12
6.5274666010661e+13,,2000,3,2,1,20046,1,24.4,91,91,318,12
6.5274668010661e+13,,2000,3,2,2,20046,1,12.8,89,89,972,12
6.5274670010661e+13,,2000,3,2,3,20046,1,6.7,69,69,975,12
6.5274672010661e+13,,2000,3,2,4,20046,1,7.3,78,78,402,12
6.5274674010661e+13,,2000,3,2,5,20046,1,16.4,88,88,972,12
6.5274676010661e+13,,2000,3,2,6,20046,1,10.1,70,70,402,12
6.5274678010661e+13,,2000,3,2,7,20046,1,6.7,52,52,402,12
6.5274680010661e+13,,2000,3,2,8,20046,1,13.8,94,94,975,12
6.5274682010661e+13,,2000,3,3,1,20046,1,8.7,35,35,701,12
6.5274684010661e+13,,2000,3,3,2,20046,1,6.5,32,32,318,12
6.5274686010661e+13,,2000,3,3,3,20046,1,27.8,80,80,318,12
6.5274688010661e+13,,2000,3,3,4,20046,1,16.6,92,92,951,12
6.5274690010661e+13,,2000,3,3,5,20046,1,15.7,93,93,951,12
6.5274692010661e+13,,2000,3,3,6,20046,1,14.8,85,85,318,12
6.5274694010661e+13,,2000,3,3,7,20046,1,1.1,15,,701,12
6.5274698010661e+13,,2000,3,3,8,20046,1,1.5,18,,701,12
6.5274702010661e+13,,2000,3,3,9,20046,1,1.4,17,,701,12
6.5274712010661e+13,,2000,3,101,1,20046,1,19.2,,,318,12
6.5274706010661e+13,,2000,3,4,1,20046,2,6.7,45,13,402,12
6.5274708010661e+13,,2000,3,4,2,20046,1,17.2,45,45,318,12
6.5274710010661e+13,,2000,3,4,3,20046,1,31.1,82,82,951,12
6.5274723010661e+13,,2000,3,101,2,20046,1,16.8,,,318,12
6.5274733010661e+13,,2000,3,101,3,20046,1,8.5,,,318,12
6.5274743010661e+13,,2000,3,101,4,20046,1,21.3,,,318,12
6.5274753010661e+13,,2000,3,102,1,20046,1,1.5,,,972,12
6.5274760010661e+13,,2000,3,102,2,20046,1,19.8,,,318,12
6.5274770010661e+13,,2000,3,102,3,20046,1,27.5,,,318,12
6.5274781010661e+13,,2000,3,103,1,20046,1,22.1,,,318,12
6.5274792010661e+13,,2000,3,103,2,20046,1,24.2,,,318,12
6.5274802010661e+13,,2000,3,103,3,20046,1,25.6,,,318,12
6.5274813010661e+13,,2000,3,104,1,20046,1,18.2,,,318,12
6.5274823010661e+13,,2000,3,104,2,20046,2,19.8,,,318,12
6.5274829010661e+13,,2000,3,104,3,20046,1,24.1,,,318,12
6.5274840010661e+13,,2000,3,105,1,20046,1,19.4,,,318,12
6.5274850010661e+13,,2000,3,105,2,20046,1,19.1,,,318,12
6.5274860010661e+13,,2000,3,105,3,20046,1,17.9,,,318,12
6.5273938010661e+13,,2000,3,1,1,20064,1,3.8,38,38,318,12
6.5273942010661e+13,,2000,3,1,2,20064,1,5.7,42,42,951,12
6.5273944010661e+13,,2000,3,1,3,20064,1,7,42,42,951,12
6.5273946010661e+13,,2000,3,1,4,20064,1,10.7,66,66,544,12
6.5273948010661e+13,,2000,3,1,5,20064,1,8.6,57,57,313,12
