"CN","PREV_TRE_CN","INVYR","UNITCD","SUBP","TREE","PLOT","STATUSCD","DIA","HT","ACTUALHT","SPCD","CYCLE"
6.5278533010661e+13,,2000,2,1,1,20058,1,10.4,50,50,746,12
6.5278535010661e+13,,2000,2,1,3,20058,1,13.2,61,61,746,12
6.5278537010661e+13,,2000,2,1,4,20058,1,5,32,32,823,12
6.5278539010661e+13,,2000,2,1,5,20058,1,10.9,56,56,746,12
6.5278541010661e+13,,2000,2,1,6,20058,1,5.5,36,36,823,12
6.5278543010661e+13,,2000,2,1,7,20058,1,2,22,,823,12
6.5278547010661e+13,,2000,2,1,8,20058,1,4.4,37,,823,12
6.5278551010661e+13,,2000,2,1,9,20058,1,2.2,24,,823,12
6.5278555010661e+13,,2000,2,2,1,20058,1,5.5,40,40,823,12
6.5278557010661e+13,,2000,2,2,2,20058,1,5.9,50,50,746,12
6.5278559010661e+13,,2000,2,2,3,20058,1,6.3,48,48,746,12
6.5278561010661e+13,,2000,2,2,4,20058,1,5.1,36,36,823,12
6.5278563010661e+13,,2000,2,2,5,20058,1,7.8,45,45,746,12
6.5278565010661e+13,,2000,2,2,6,20058,1,8,50,50,746,12
6.5278567010661e+13,,2000,2,2,7,20058,1,8,54,54,746,12
6.5278569010661e+13,,2000,2,2,8,20058,1,5.2,35,35,823,12
6.5278571010661e+13,,2000,2,2,9,20058,1,8.6,52,52,746,12
6.5278573010661e+13,,2000,2,2,10,20058,1,8.9,48,48,746,12
6.5278575010661e+13,,2000,2,2,11,20058,1,6,35,35,823,12
6.5278577010661e+13,,2000,2,2,12,20058,1,5.7,33,33,823,12
6.5278579010661e+13,,2000,2,2,13,20058,1,7.8,43,43,823,12
6.5278581010661e+13,,2000,2,2,14,20058,1,6.4,45,45,746,12
6.5278583010661e+13,,2000,2,2,15,20058,1,6.3,50,50,746,12
6.5278585010661e+13,,2000,2,3,1,20058,1,10.6,54,54,746,12
6.5278587010661e+13,,2000,2,3,2,20058,1,5.5,30,30,972,12
6.5278589010661e+13,,2000,2,3,3,20058,1,7.2,48,48,746,12
6.5278591010661e+13,,2000,2,3,4,20058,1,5.2,36,36,823,12
6.5278600010661e+13,,2000,2,3,8,20058,1,10.7,48,48,746,12
6.5278593010661e+13,,2000,2,3,5,20058,1,5.5,32,32,823,12
6.5278595010661e+13,,2000,2,3,6,20058,1,10.6,28,28,746,12
6.5278598010661e+13,,2000,2,3,7,20058,1,7.1,36,36,746,12
6.5278603010661e+13,,2000,2,3,9,20058,1,11.5,52,52,746,12
6.5278605010661e+13,,2000,2,3,10,20058,1,6.8,48,48,746,12
6.5278607010661e+13,,2000,2,3,11,20058,1,11.2,45,45,746,12
6.5278609010661e+13,,2000,2,3,12,20058,1,3.9,35,,746,12
6.5278613010661e+13,,2000,2,3,13,20058,1,1.2,16,,972,12
6.5278617010661e+13,,2000,2,3,14,20058,1,2.5,26,,823,12
6.5278621010661e+13,,2000,2,3,15,20058,1,3.7,33,,823,12
6.5278625010661e+13,,2000,2,4,1,20058,1,5.5,35,35,823,12
6.5278627010661e+13,,2000,2,4,2,20058,1,10.9,40,40,746,12
6.5278629010661e+13,,2000,2,4,3,20058,1,10.9,48,48,746,12
6.5278631010661e+13,,2000,2,4,4,20058,1,10.4,40,40,746,12
6.5278633010661e+13,,2000,2,4,5,20058,1,8,38,38,746,12
6.5278635010661e+13,,2000,2,4,6,20058,1,5.4,32,32,823,12
6.5278637010661e+13,,2000,2,4,7,20058,1,11.1,44,44,823,12
6.5278639010661e+13,,2000,2,4,8,20058,1,3.7,33,,823,12
6.5278643010661e+13,,2000,2,4,9,20058,1,1.7,20,,823,12
6.5278647010661e+13,,2000,2,4,10,20058,1,3.3,31,,823,12
6.5278651010661e+13,,2000,2,4,11,20058,1,4.6,38,,972,12
6.5278655010661e+13,,2000,2,101,1,20058,1,10.4,,,746,12
6.5278665010661e+13,,2000,2,101,2,20058,1,2.5,,,823,12
6.5278672010661e+13,,2000,2,102,3,20058,1,8.1,,,741,12
6.5278682010661e+13,,2000,2,103,1,20058,1,4.7,,,746,12
6.5278689010661e+13,,2000,2,103,4,20058,1,6.4,,,746,12
6.5278699010661e+13,,2000,2,103,5,20058,2,,,,746,12
6.5278704010661e+13,,2000,2,104,2,20058,1,16.2,,,823,12
6.5278714010661e+13,,2000,2,104,3,20058,1,10.4,,,746,12
6.5278724010661e+13,,2000,2,104,6,20058,1,7.1,,,746,12
6.5278734010661e+13,,2000,2,105,3,20058,1,9.7,,,746,12
6.5278226010661e+13,,2000,2,3,1,20098,1,13.7,39,39,823,12
6.5278228010661e+13,,2000,2,3,2,20098,1,7.7,32,32,823,12
6.5278230010661e+13,,2000,2,3,3,20098,1,6.2,30,30,823,12
6.5278232010661e+13,,2000,2,3,4,20098,1,9.9,25,25,823,12
6.5278240010661e+13,,2000,2,3,8,20098,1,6.2,23,23,823,12
6.5278234010661e+13,,2000,2,3,5,20098,1,5.4,20,20,823,12
6.5278236010661e+13,,2000,2,3,6,20098,1,9.2,25,25,823,12
6.5278238010661e+13,,2000,2,3,7,20098,1,8.4,26,26,823,12
6.5278291010661e+13,,2000,2,1,1,20121,1,11.2,55,55,746,12
6.5278293010661e+13,,2000,2,1,2,20121,1,5.9,38,38,746,12
6.5278296010661e+13,,2000,2,1,3,20121,1,1.7,20,,823,12
6.5278300010661e+13,,2000,2,1,4,20121,1,2.3,24,,823,12
6.5278304010661e+13,,2000,2,1,5,20121,1,1.6,19,,823,12
6.5278308010661e+13,,2000,2,2,1,20121,1,6.4,35,35,823,12
6.5278310010661e+13,,2000,2,2,2,20121,1,8.3,53,53,746,12
6.5278312010661e+13,,2000,2,2,3,20121,1,5.5,39,39,823,12
6.5278314010661e+13,,2000,2,2,4,20121,1,5.2,38,38,823,12
6.5278316010661e+13,,2000,2,2,5,20121,1,5.2,33,33,823,12
6.5278318010661e+13,,2000,2,2,6,20121,1,8.1,50,50,746,12
6.5278321010661e+13,,2000,2,2,7,20121,1,5.2,35,35,746,12
6.5278323010661e+13,,2000,2,2,8,20121,1,8,35,35,746,12
6.5278326010661e+13,,2000,2,2,9,20121,1,10,55,55,746,12
6.5278328010661e+13,,2000,2,2,10,20121,1,6.7,39,39,823,12
6.5278330010661e+13,,2000,2,2,11,20121,1,5.5,37,37,823,12
6.5278332010661e+13,,2000,2,2,12,20121,1,5.5,27,27,823,12
6.5278334010661e+13,,2000,2,2,13,20121,1,1.2,16,,823,12
6.5278338010661e+13,,2000,2,3,1,20121,1,5.3,35,35,823,12
6.5278340010661e+13,,2000,2,3,2,20121,1,8.1,47,47,746,12
6.5278342010661e+13,,2000,2,3,3,20121,1,9.6,55,55,746,12
6.5278344010661e+13,,2000,2,3,4,20121,1,5.3,40,40,823,12
6.5278346010661e+13,,2000,2,3,5,20121,1,5.9,40,40,543,12
6.5278348010661e+13,,2000,2,3,6,20121,1,5,35,35,823,12
6.5278350010661e+13,,2000,2,3,7,20121,1,10,57,57,746,12
6.5278352010661e+13,,2000,2,3,8,20121,1,5.3,33,33,746,12
6.5278361010661e+13,,2000,2,3,12,20121,1,2.7,27,,823,12
6.5278354010661e+13,,2000,2,3,9,20121,1,11,57,57,746,12
6.5278356010661e+13,,2000,2,3,10,20121,2,9.2,54,16,746,12
6.5278358010661e+13,,2000,2,3,11,20121,1,7.1,45,45,746,12
6.5278365010661e+13,,2000,2,3,13,20121,1,3.1,30,,823,12
6.5278369010661e+13,,2000,2,3,14,20121,1,2.2,24,,823,12
6.5278373010661e+13,,2000,2,3,15,20121,1,3.4,32,,823,12
6.5278377010661e+13,,2000,2,4,1,20121,1,13.4,48,48,823,12
6.5278379010661e+13,,2000,2,4,2,20121,1,12.7,48,48,823,12
6.5278381010661e+13,,2000,2,4,3,20121,1,13,48,48,823,12
6.5278383010661e+13,,2000,2,4,4,20121,1,10.7,46,46,823,12
6.5278385010661e+13,,2000,2,4,5,20121,1,12,40,40,823,12
6.5278387010661e+13,,2000,2,4,6,20121,1,2.1,23,,823,12
6.5275877010661e+13,,2000,2,2,1,20159,1,6.6,37,37,313,12
6.5275879010661e+13,,2000,2,2,2,20159,1,8,40,40,543,12
6.5275881010661e+13,,2000,2,2,3,20159,1,10.8,45,45,543,12
6.5275883010661e+13,,2000,2,2,4,20159,1,9.6,25,25,313,12
6.5275885010661e+13,,2000,2,2,5,20159,1,6.3,46,46,972,12
6.5275887010661e+13,,2000,2,2,6,20159,1,9.2,55,55,313,12
6.5275889010661e+13,,2000,2,2,7,20159,1,7.8,42,42,313,12
6.5275891010661e+13,,2000,2,2,8,20159,2,7.8,49,40,972,12
6.5275893010661e+13,,2000,2,2,9,20159,1,4.3,37,,543,12
6.5275897010661e+13,,2000,2,3,1,20159,1,8.8,44,44,823,12
6.5275899010661e+13,,2000,2,3,2,20159,1,12.8,65,65,823,12
6.5275901010661e+13,,2000,2,3,3,20159,1,8.8,46,46,823,12
6.5275903010661e+13,,2000,2,3,4,20159,1,8,40,40,823,12
6.5275905010661e+13,,2000,2,3,5,20159,1,19.6,63,63,823,12
6.5275907010661e+13,,2000,2,3,6,20159,1,9.5,48,48,823,12
6.5275909010661e+13,,2000,2,3,7,20159,1,15.3,52,52,823,12
6.5279714010661e+13,,2000,2,1,1,20163,1,7.3,44,44,125,12
6.5275911010661e+13,,2000,2,3,8,20159,1,16.4,58,58,823,12
6.5275913010661e+13,,2000,2,3,9,20159,1,18.5,56,56,823,12
6.5275915010661e+13,,2000,2,3,10,20159,2,8.7,53,28,823,12
6.5279716010661e+13,,2000,2,1,2,20163,1,8.4,46,46,125,12
6.5279718010661e+13,,2000,2,1,3,20163,1,8.7,46,46,125,12
6.5279720010661e+13,,2000,2,1,4,20163,1,9.1,46,46,125,12
6.5279722010661e+13,,2000,2,1,5,20163,1,6.7,45,45,105,12
6.5279724010661e+13,,2000,2,1,6,20163,1,9,49,49,125,12
6.5279726010661e+13,,2000,2,1,7,20163,1,7.5,46,46,125,12
6.5279728010661e+13,,2000,2,1,8,20163,1,7.4,46,46,125,12
