"CN","PREV_TRE_CN","INVYR","UNITCD","SUBP","TREE","PLOT","STATUSCD","DIA","HT","ACTUALHT","SPCD","CYCLE"
6.5183895010661e+13,,2000,4,4,4,20356,1,9.7,26,26,823,12
6.5183887010661e+13,,2000,4,4,1,20356,1,9.7,37,37,823,12
6.5183891010661e+13,,2000,4,4,2,20356,1,5,24,24,823,12
6.5183893010661e+13,,2000,4,4,3,20356,1,9.7,36,36,823,12
6.5183898010661e+13,,2000,4,4,5,20356,1,5.9,24,24,544,12
6.5183900010661e+13,,2000,4,4,6,20356,1,8.2,27,27,823,12
6.5183902010661e+13,,2000,4,4,7,20356,1,6.8,25,25,823,12
6.5183904010661e+13,,2000,4,4,8,20356,1,9.4,31,31,823,12
6.5183906010661e+13,,2000,4,4,9,20356,1,8.3,25,25,823,12
6.5183908010661e+13,,2000,4,4,10,20356,1,11.3,30,30,823,12
6.5805775010661e+13,,2001,4,1,4,20108,2,16,50,6,972,12
6.5805777010661e+13,,2001,4,1,5,20108,1,7.8,34,28,544,12
6.5805779010661e+13,,2001,4,1,6,20108,2,16.7,50,19,972,12
6.5805781010661e+13,,2001,4,3,1,20108,2,12.6,59,6,972,12
6.5805783010661e+13,,2001,4,3,2,20108,2,17.3,60,8,972,12
6.5805785010661e+13,,2001,4,3,3,20108,2,11.1,55,6,972,12
6.5805787010661e+13,,2001,4,3,4,20108,1,19.5,55,55,313,12
6.5805789010661e+13,,2001,4,3,5,20108,1,1.6,19,,544,12
6.5805791010661e+13,,2001,4,3,6,20108,1,1.2,16,,544,12
6.5805799010661e+13,,2001,4,4,1,20108,1,9.5,42,42,313,12
6.5805801010661e+13,,2001,4,4,2,20108,1,10.3,43,43,313,12
6.5805803010661e+13,,2001,4,4,3,20108,1,8.6,36,36,313,12
6.5805805010661e+13,,2001,4,4,4,20108,1,5.7,34,34,313,12
6.5805807010661e+13,,2001,4,4,5,20108,1,9.9,46,46,313,12
6.5805809010661e+13,,2001,4,4,6,20108,2,20.7,52,25,972,12
6.5805811010661e+13,,2001,4,4,7,20108,1,7.8,43,40,972,12
6.5805797010661e+13,,2001,4,4,8,20108,1,6,38,38,972,12
6.5805793010661e+13,,2001,4,4,9,20108,1,10.3,51,36,313,12
6.5805795010661e+13,,2001,4,4,10,20108,1,6.6,42,42,972,12
6.5805813010661e+13,,2001,4,101,1,20108,2,,,,972,12
6.5805818010661e+13,,2001,4,101,2,20108,2,19.7,,,972,12
6.5805842010661e+13,,2001,4,105,2,20108,2,,,,544,12
6.5805825010661e+13,,2001,4,101,3,20108,2,12,,,544,12
6.5805831010661e+13,,2001,4,102,1,20108,2,,,,544,12
6.5805837010661e+13,,2001,4,105,1,20108,2,,,,972,12
6.5805065010661e+13,,2001,4,1,1,20346,1,10.7,43,43,313,12
6.5805067010661e+13,,2001,4,1,3,20346,1,13.2,56,56,746,12
6.5805069010661e+13,,2001,4,1,4,20346,1,13,57,57,746,12
6.5805071010661e+13,,2001,4,1,5,20346,2,12,55,15,746,12
6.5805073010661e+13,,2001,4,1,6,20346,2,12.9,55,9,746,12
6.5805075010661e+13,,2001,4,1,7,20346,1,7.6,34,34,313,12
6.5805077010661e+13,,2001,4,2,1,20346,1,12.1,38,38,313,12
6.5805079010661e+13,,2001,4,3,1,20346,1,8.4,35,23,313,12
6.5805224010661e+13,,2001,4,4,1,20346,1,9.8,52,52,313,12
6.5805226010661e+13,,2001,4,4,2,20346,1,9.2,50,50,746,12
6.5805228010661e+13,,2001,4,4,3,20346,2,8,45,9,746,12
6.5805230010661e+13,,2001,4,4,4,20346,1,10.4,48,48,746,12
6.5805232010661e+13,,2001,4,4,5,20346,1,10.4,44,44,746,12
6.5805234010661e+13,,2001,4,4,6,20346,2,6.4,31,21,746,12
6.5805222010661e+13,,2001,4,4,7,20346,2,8.6,30,7,746,12
6.5805202010661e+13,,2001,4,4,8,20346,1,6,27,27,313,12
6.5805204010661e+13,,2001,4,4,9,20346,1,10,52,52,746,12
6.5805206010661e+13,,2001,4,4,10,20346,1,10.5,49,49,746,12
6.5805208010661e+13,,2001,4,4,11,20346,1,9.2,44,44,746,12
6.5805210010661e+13,,2001,4,4,12,20346,1,8.4,32,32,746,12
6.5805212010661e+13,,2001,4,4,13,20346,2,9.5,47,14,746,12
6.5805214010661e+13,,2001,4,4,14,20346,1,5.7,29,24,313,12
6.5805216010661e+13,,2001,4,4,15,20346,1,7.4,31,27,313,12
6.5805218010661e+13,,2001,4,4,16,20346,1,7.5,44,44,313,12
6.5805220010661e+13,,2001,4,4,17,20346,1,6.8,44,44,313,12
6.5805081010661e+13,,2001,4,101,1,20346,1,10.7,,,313,12
6.5805091010661e+13,,2001,4,101,2,20346,2,,,,746,12
6.5805096010661e+13,,2001,4,101,3,20346,1,13.2,,,746,12
6.5805106010661e+13,,2001,4,101,4,20346,1,13,,,746,12
6.5805116010661e+13,,2001,4,102,1,20346,2,19.8,,,972,12
6.5805122010661e+13,,2001,4,103,1,20346,2,,,,313,12
6.5805147010661e+13,,2001,4,104,1,20346,2,,,,313,12
6.5805127010661e+13,,2001,4,103,2,20346,2,,,,313,12
6.5805132010661e+13,,2001,4,103,3,20346,2,,,,313,12
6.5805137010661e+13,,2001,4,103,4,20346,1,12.6,,,313,12
6.5805152010661e+13,,2001,4,104,2,20346,2,,,,313,12
6.5805157010661e+13,,2001,4,104,3,20346,2,,,,922,12
6.5805162010661e+13,,2001,4,104,4,20346,2,,,,313,12
6.5805167010661e+13,,2001,4,105,1,20346,1,12.5,,,313,12
6.5805177010661e+13,,2001,4,105,2,20346,2,,,,313,12
6.5805182010661e+13,,2001,4,105,4,20346,1,9.5,,,313,12
6.5805192010661e+13,,2001,4,105,5,20346,1,10.6,,,313,12
6.5947987010661e+13,,2002,4,1,1,20450,1,17,62,62,823,12
6.5947989010661e+13,,2002,4,1,2,20450,1,14.2,59,59,823,12
6.5947999010661e+13,,2002,4,1,3,20450,1,11.6,54,37,823,12
6.5947991010661e+13,,2002,4,1,4,20450,1,2.3,24,,951,12
6.5947993010661e+13,,2002,4,1,5,20450,1,2,22,,951,12
6.5947995010661e+13,,2002,4,1,6,20450,1,1.7,20,,951,12
