"CN","PREV_TRE_CN","INVYR","UNITCD","SUBP","TREE","PLOT","STATUSCD","DIA","HT","ACTUALHT","SPCD","CYCLE"
6.5048931010661e+13,,2000,3,1,1,20005,1,5.3,34,34,313,12
6.5048944010661e+13,,2000,3,1,3,20005,1,5,32,32,901,12
6.5048954010661e+13,,2000,3,1,4,20005,1,6.2,49,49,901,12
6.5048966010661e+13,,2000,3,1,5,20005,1,5.3,36,36,313,12
6.5048978010661e+13,,2000,3,1,6,20005,1,18.8,69,69,742,12
6.5048986010661e+13,,2000,3,1,7,20005,1,9.6,35,35,972,12
6.5048994010661e+13,,2000,3,1,8,20005,1,3.6,33,,313,12
6.5049010010661e+13,,2000,3,1,9,20005,1,2.9,29,,313,12
6.5049021010661e+13,,2000,3,1,10,20005,1,1.9,21,,972,12
6.5049036010661e+13,,2000,3,2,1,20005,1,7.1,30,30,313,12
6.5049048010661e+13,,2000,3,2,2,20005,1,5.2,30,30,313,12
6.5049087010661e+13,,2000,3,2,6,20005,1,6.5,42,42,972,12
6.5049055010661e+13,,2000,3,2,3,20005,1,5.8,27,27,313,12
6.5049064010661e+13,,2000,3,2,4,20005,1,5.4,35,35,313,12
6.5049074010661e+13,,2000,3,2,5,20005,1,5.6,36,36,313,12
6.5049101010661e+13,,2000,3,2,7,20005,1,5,41,41,972,12
6.5049112010661e+13,,2000,3,2,8,20005,1,5.1,27,27,313,12
6.5049128010661e+13,,2000,3,2,9,20005,1,2.4,25,,313,12
6.5049138010661e+13,,2000,3,2,10,20005,1,4.3,37,,313,12
6.5049153010661e+13,,2000,3,2,11,20005,1,4.6,38,,313,12
6.5049168010661e+13,,2000,3,2,12,20005,1,1.4,17,,313,12
6.5049185010661e+13,,2000,3,2,13,20005,1,4.6,38,,313,12
6.5049198010661e+13,,2000,3,2,14,20005,1,3.9,35,,313,12
6.5049212010661e+13,,2000,3,2,15,20005,1,4.6,38,,313,12
6.5049226010661e+13,,2000,3,3,1,20005,1,5.4,30,30,313,12
6.5049237010661e+13,,2000,3,4,1,20005,1,6.5,30,30,802,12
6.5049251010661e+13,,2000,3,4,2,20005,2,19,77,10,313,12
6.5049257010661e+13,,2000,3,4,3,20005,1,6.2,39,39,313,12
6.5049269010661e+13,,2000,3,4,4,20005,1,6,28,28,972,12
6.5049284010661e+13,,2000,3,4,5,20005,1,1,14,,972,12
6.5049298010661e+13,,2000,3,101,1,20005,1,5.3,,,313,12
6.5049333010661e+13,,2000,3,101,2,20005,2,,,,313,12
6.5051828010661e+13,,2000,3,1,1,20046,1,11.2,42,42,68,12
6.5051837010661e+13,,2000,3,1,2,20046,1,6.2,55,55,375,12
6.5051848010661e+13,,2000,3,1,3,20046,1,8.3,67,67,901,12
6.5051861010661e+13,,2000,3,1,4,20046,1,13.1,71,71,975,12
6.5051869010661e+13,,2000,3,1,5,20046,1,6.5,57,57,901,12
6.5051876010661e+13,,2000,3,2,1,20046,1,5.1,19,19,68,12
6.5051883010661e+13,,2000,3,2,2,20046,1,14.9,33,33,823,12
6.5051888010661e+13,,2000,3,2,3,20046,1,6.2,25,25,68,12
6.5051895010661e+13,,2000,3,2,4,20046,1,8.5,32,32,68,12
6.5051902010661e+13,,2000,3,2,5,20046,1,1.3,13,,68,12
6.5051911010661e+13,,2000,3,3,1,20046,1,5.5,48,48,375,12
6.5051946010661e+13,,2000,3,3,5,20046,1,6.9,50,50,375,12
6.5051919010661e+13,,2000,3,3,2,20046,1,5.9,41,41,375,12
6.5051927010661e+13,,2000,3,3,3,20046,1,19.9,81,81,742,12
6.5051935010661e+13,,2000,3,3,4,20046,1,19.7,83,83,742,12
6.5051952010661e+13,,2000,3,3,6,20046,1,1.7,20,,701,12
6.5051961010661e+13,,2000,3,3,7,20046,1,1.3,17,,701,12
6.5051970010661e+13,,2000,3,3,8,20046,1,2.3,24,,701,12
6.5051980010661e+13,,2000,3,3,9,20046,1,1.2,16,,975,12
6.5051991010661e+13,,2000,3,3,10,20046,1,1.1,15,,951,12
6.5052002010661e+13,,2000,3,3,11,20046,1,1.5,18,,951,12
6.5052016010661e+13,,2000,3,101,1,20046,1,11.2,,,68,12
6.5052038010661e+13,,2000,3,102,1,20046,2,,,,746,12
6.5052056010661e+13,,2000,3,102,2,20046,2,5.6,,,746,12
6.5052073010661e+13,,2000,3,102,3,20046,1,6.6,,,68,12
6.5052099010661e+13,,2000,3,102,4,20046,1,4,,,746,12
6.5053070010661e+13,,2000,3,1,3,20075,1,13.3,51,51,833,12
6.5053077010661e+13,,2000,3,1,4,20075,1,12.3,50,50,833,12
6.5053084010661e+13,,2000,3,1,5,20075,2,16.7,73,56,833,12
6.5053092010661e+13,,2000,3,1,6,20075,1,7,40,40,833,12
6.5053099010661e+13,,2000,3,1,7,20075,1,17.6,64,64,833,12
6.5053110010661e+13,,2000,3,1,8,20075,1,6.1,47,47,972,12
6.5053118010661e+13,,2000,3,2,1,20075,1,5.3,42,42,972,12
6.5053129010661e+13,,2000,3,2,2,20075,1,15.6,57,57,802,12
6.5053139010661e+13,,2000,3,2,3,20075,1,15.3,67,67,802,12
6.5053148010661e+13,,2000,3,2,4,20075,1,11.4,53,53,802,12
6.5053159010661e+13,,2000,3,2,5,20075,1,16.4,67,67,802,12
6.5053170010661e+13,,2000,3,2,6,20075,1,2.9,29,,541,12
6.5053182010661e+13,,2000,3,3,1,20075,2,14.9,69,18,833,12
6.5053189010661e+13,,2000,3,3,2,20075,1,19.6,65,65,833,12
6.5053204010661e+13,,2000,3,3,3,20075,1,6.1,37,37,407,12
6.5053211010661e+13,,2000,3,3,4,20075,1,13.1,62,62,407,12
6.5053257010661e+13,,2000,3,4,2,20075,1,8.5,48,48,407,12
6.5053268010661e+13,,2000,3,4,3,20075,1,17.3,70,70,833,12
6.5053219010661e+13,,2000,3,3,5,20075,1,1.3,17,,402,12
6.5053233010661e+13,,2000,3,3,6,20075,1,1.2,16,,951,12
6.5053248010661e+13,,2000,3,4,1,20075,1,20.2,70,55,802,12
6.5053276010661e+13,,2000,3,4,4,20075,1,20.2,80,80,833,12
6.5053287010661e+13,,2000,3,4,5,20075,1,1.1,15,,541,12
6.5053301010661e+13,,2000,3,101,3,20075,1,13.3,,,833,12
6.5053335010661e+13,,2000,3,101,4,20075,1,12.3,,,833,12
6.5053363010661e+13,,2000,3,101,5,20075,2,16.7,,,833,12
6.5053378010661e+13,,2000,3,102,5,20075,1,3.8,,,972,12
6.5053402010661e+13,,2000,3,103,5,20075,1,4.6,,,544,12
6.5053426010661e+13,,2000,3,103,6,20075,1,3,,,407,12
6.5053449010661e+13,,2000,3,104,1,20075,1,17.3,,,802,12
6.5053478010661e+13,,2000,3,104,2,20075,1,9.6,,,802,12
6.5053511010661e+13,,2000,3,104,4,20075,1,18.3,,,802,12
6.5053545010661e+13,,2000,3,104,5,20075,1,16.1,,,802,12
6.5053581010661e+13,,2000,3,105,3,20075,1,10.8,,,802,12
6.5048107010661e+13,,2000,3,1,1,20083,1,31.4,110,110,317,12
6.5048117010661e+13,,2000,3,1,6,20083,1,7.3,45,45,972,12
6.5048123010661e+13,,2000,3,1,7,20083,1,8.6,70,70,317,12
6.5048134010661e+13,,2000,3,1,8,20083,1,6.4,60,60,317,12
6.5048141010661e+13,,2000,3,1,9,20083,1,1.3,17,,462,12
6.5048151010661e+13,,2000,3,1,10,20083,1,3.4,32,,972,12
6.5048163010661e+13,,2000,3,1,11,20083,1,2.3,24,,972,12
6.5048178010661e+13,,2000,3,1,12,20083,1,1.9,21,,972,12
6.5048194010661e+13,,2000,3,2,1,20083,1,36,110,110,317,12
6.5048203010661e+13,,2000,3,2,2,20083,1,4.7,39,,972,12
6.5048217010661e+13,,2000,3,3,1,20083,1,36,96,96,317,12
6.5048227010661e+13,,2000,3,3,2,20083,1,8.5,47,47,975,12
6.5048239010661e+13,,2000,3,4,1,20083,1,22.5,80,80,317,12
6.5048244010661e+13,,2000,3,4,2,20083,1,16.6,65,65,317,12
6.5048256010661e+13,,2000,3,4,3,20083,1,29.6,110,110,317,12
6.5048268010661e+13,,2000,3,4,4,20083,1,5.3,45,45,317,12
6.5048275010661e+13,,2000,3,101,1,20083,1,31.4,,,317,12
6.5048309010661e+13,,2000,3,101,2,20083,2,,,,972,12
6.5048325010661e+13,,2000,3,101,3,20083,2,,,,972,12
6.5048344010661e+13,,2000,3,101,4,20083,2,,,,972,12
6.5048366010661e+13,,2000,3,101,5,20083,1,1.5,,,544,12
6.5048388010661e+13,,2000,3,102,1,20083,2,,,,972,12
6.5048487010661e+13,,2000,3,102,5,20083,1,26.2,,,317,12
6.5048404010661e+13,,2000,3,102,2,20083,2,,,,972,12
6.5048422010661e+13,,2000,3,102,3,20083,1,31.2,,,544,12
6.5048454010661e+13,,2000,3,102,4,20083,1,35.4,,,317,12
6.5048513010661e+13,,2000,3,102,6,20083,1,2.6,,,544,12
6.5048534010661e+13,,2000,3,103,1,20083,2,,,,317,12
6.5048548010661e+13,,2000,3,103,2,20083,1,36.1,,,317,12
6.5048570010661e+13,,2000,3,103,3,20083,1,22,,,317,12
6.5048596010661e+13,,2000,3,103,4,20083,1,21.3,,,317,12
6.5048621010661e+13,,2000,3,104,5,20083,1,35.2,,,317,12
6.5048653010661e+13,,2000,3,104,7,20083,1,19.3,,,317,12
6.5048679010661e+13,,2000,3,104,8,20083,1,7.4,,,317,12
6.5048709010661e+13,,2000,3,105,1,20083,2,,,,972,12
6.5048729010661e+13,,2000,3,105,2,20083,1,31.8,,,317,12
6.5048754010661e+13,,2000,3,105,3,20083,1,30.7,,,317,12
6.5048786010661e+13,,2000,3,105,4,20083,1,17.8,,,317,12
6.5052668010661e+13,,2000,3,1,4,20092,1,14.2,65,65,462,12
6.5052681010661e+13,,2000,3,1,5,20092,2,11.8,62,9,833,12
6.5052693010661e+13,,2000,3,1,6,20092,1,15,55,55,823,12
6.5052701010661e+13,,2000,3,1,7,20092,1,8.4,28,28,823,12
6.5052713010661e+13,,2000,3,1,8,20092,1,10.6,34,34,823,12
6.5052727010661e+13,,2000,3,1,9,20092,1,9.5,50,50,823,12
6.5052736010661e+13,,2000,3,1,10,20092,1,10.4,52,52,823,12
6.5052745010661e+13,,2000,3,1,11,20092,1,1.1,15,,407,12
6.5052756010661e+13,,2000,3,1,12,20092,1,1.5,18,,407,12
6.5052770010661e+13,,2000,3,1,13,20092,1,1.1,15,,407,12
6.5052785010661e+13,,2000,3,2,1,20092,1,9.6,41,41,601,12
6.5052791010661e+13,,2000,3,2,2,20092,1,5.8,37,37,601,12
6.5052802010661e+13,,2000,3,2,3,20092,1,5.5,37,37,601,12
6.5052809010661e+13,,2000,3,2,4,20092,1,7.8,40,40,601,12
6.5052819010661e+13,,2000,3,2,5,20092,1,9.4,52,52,462,12
6.5052834010661e+13,,2000,3,2,6,20092,1,5.8,34,34,601,12
6.5052842010661e+13,,2000,3,3,1,20092,1,6,35,35,601,12
6.5052851010661e+13,,2000,3,3,2,20092,1,20.8,65,65,833,12
6.5052859010661e+13,,2000,3,3,3,20092,2,5.1,38,35,833,12
6.5052867010661e+13,,2000,3,3,4,20092,1,14.7,56,56,823,12
6.5052881010661e+13,,2000,3,3,5,20092,1,1.5,18,,763,12
6.5052894010661e+13,,2000,3,4,1,20092,1,14.4,63,63,833,12
6.5052932010661e+13,,2000,3,4,5,20092,1,4.1,36,,975,12
6.5052903010661e+13,,2000,3,4,2,20092,1,9.2,54,54,951,12
6.5052913010661e+13,,2000,3,4,3,20092,1,9.8,64,64,951,12
6.5052924010661e+13,,2000,3,4,4,20092,1,6.9,55,55,833,12
6.5053869010661e+13,,2000,3,1,1,20146,1,5.2,34,34,975,12
6.5053876010661e+13,,2000,3,1,2,20146,1,12,81,81,833,12
6.5053888010661e+13,,2000,3,1,3,20146,1,11.9,85,85,833,12
6.5053897010661e+13,,2000,3,1,4,20146,1,5.9,35,35,462,12
6.5053909010661e+13,,2000,3,1,5,20146,1,5.7,36,36,407,12
6.5053916010661e+13,,2000,3,1,6,20146,1,5.6,35,35,407,12
6.5053928010661e+13,,2000,3,1,7,20146,1,4.1,36,,972,12
