"PLOT_UNIQUE_ID","CYCLE","MEASYEAR","n_saplings","n_new_saplings","n_sapling_saplings","n_saplings_to_trees","n_saplings_died","n_saplings_removed","n_saplings_previous","prev_measyear","first_measyear","is_first_measyear","n_sapling_saplings_prop","n_saplings_to_trees_prop","n_saplings_died_prop","n_saplings_removed_prop"
"9_1_7_337",7,2018,6,1,5,0,1,0,6,2012,2008,FALSE,0.833333333333333,0,0.166666666666667,0
"9_1_7_347",6,2012,0,0,0,0,3,0,4,2008,2008,FALSE,0,0,0.75,0
"9_1_7_351",6,2010,3,0,3,1,0,0,4,2005,2005,FALSE,0.75,0.25,0,0
"9_1_7_351",7,2015,2,0,2,0,1,0,3,2010,2005,FALSE,0.666666666666667,0,0.333333333333333,0
"9_1_7_380",6,2009,7,2,5,0,0,0,5,2004,2004,FALSE,1,0,0,0
"9_1_7_380",7,2014,0,0,0,0,0,0,7,2009,2004,FALSE,0,0,0,0
"9_1_7_380",8,2021,7,7,0,0,0,0,0,2014,2004,FALSE,NA,NA,NA,NA
"9_1_7_422",6,2010,2,0,2,0,0,0,2,2005,2005,FALSE,1,0,0,0
"9_1_7_422",7,2015,1,0,1,0,1,0,2,2010,2005,FALSE,0.5,0,0.5,0
"9_1_7_456",6,2008,2,0,2,0,0,0,2,2004,2004,FALSE,1,0,0,0
"9_1_7_456",7,2014,1,0,1,0,1,0,2,2008,2004,FALSE,0.5,0,0.5,0
"9_1_7_456",8,2021,0,0,0,0,0,0,1,2014,2004,FALSE,0,0,0,0
"9_1_7_493",7,2019,3,0,3,0,1,0,4,2012,2012,FALSE,0.75,0,0.25,0
"9_1_7_498",6,2009,4,0,4,0,0,0,4,2005,2005,FALSE,1,0,0,0
"9_1_7_498",7,2015,3,2,1,0,3,0,4,2009,2005,FALSE,0.25,0,0.75,0
"9_1_7_511",6,2008,0,0,0,0,2,0,2,2004,2004,FALSE,0,0,1,0
"9_1_7_527",6,2011,5,0,5,0,1,0,6,2007,2007,FALSE,0.833333333333333,0,0.166666666666667,0
"9_1_7_527",7,2017,4,0,4,1,0,0,5,2011,2007,FALSE,0.8,0.2,0,0
"9_1_7_581",6,2010,2,0,2,1,1,0,4,2005,2005,FALSE,0.5,0.25,0.25,0
"9_1_7_581",7,2015,2,0,2,0,0,0,2,2010,2005,FALSE,1,0,0,0
"9_1_7_589",6,2010,3,0,3,1,0,0,4,2007,2007,FALSE,0.75,0.25,0,0
"9_1_7_589",7,2016,5,2,3,0,0,0,3,2010,2007,FALSE,1,0,0,0
"9_1_7_596",6,2010,5,2,3,0,0,0,3,2006,2006,FALSE,1,0,0,0
"9_1_7_596",7,2016,6,1,5,0,0,0,5,2010,2006,FALSE,1,0,0,0
"9_1_7_607",6,2008,1,0,1,0,0,0,1,2004,2004,FALSE,1,0,0,0
"9_1_7_607",7,2014,0,0,0,0,0,0,1,2008,2004,FALSE,0,0,0,0
"9_1_7_613",6,2010,7,2,5,0,1,1,7,2006,2006,FALSE,0.714285714285714,0,0.142857142857143,0.142857142857143
"9_1_7_613",7,2016,0,0,0,0,0,0,7,2010,2006,FALSE,0,0,0,0
"9_1_7_627",7,2016,30,13,17,0,0,0,17,2011,2011,FALSE,1,0,0,0
"9_1_7_682",6,2012,4,0,4,0,1,0,5,2008,2008,FALSE,0.8,0,0.2,0
"9_1_7_682",7,2018,4,0,4,0,0,0,4,2012,2008,FALSE,1,0,0,0
