"CN","PREV_TRE_CN","INVYR","UNITCD","SUBP","TREE","PLOT","STATUSCD","DIA","HT","ACTUALHT","SPCD","CYCLE"
6.5219523010661e+13,,2000,3,1,1,20002,1,8.3,60,60,951,12
6.5219525010661e+13,,2000,3,1,2,20002,1,7,35,35,313,12
6.5219527010661e+13,,2000,3,1,3,20002,1,20.2,87,87,833,12
6.5219537010661e+13,,2000,3,2,4,20002,2,5,37,33,833,12
6.5219529010661e+13,,2000,3,2,1,20002,1,5.5,35,35,313,12
6.5219533010661e+13,,2000,3,2,2,20002,1,7.1,50,50,313,12
6.5219535010661e+13,,2000,3,2,3,20002,1,11.4,85,85,833,12
6.5219539010661e+13,,2000,3,2,5,20002,1,4.9,40,,313,12
6.5219543010661e+13,,2000,3,3,1,20002,1,1,14,,462,12
6.5219547010661e+13,,2000,3,4,1,20002,1,15.7,35,35,313,12
6.5219298010661e+13,,2000,3,1,4,20014,1,10.5,40,40,951,12
6.5219304010661e+13,,2000,3,1,5,20014,2,8.4,51,40,313,12
6.5219306010661e+13,,2000,3,1,6,20014,2,5.3,39,15,313,12
6.5219308010661e+13,,2000,3,1,7,20014,1,11.4,48,48,313,12
6.5219310010661e+13,,2000,3,1,8,20014,1,5.2,23,23,313,12
6.5219312010661e+13,,2000,3,1,9,20014,1,8.7,46,46,313,12
6.5219348010661e+13,,2000,3,2,1,20014,1,8.8,51,51,601,12
6.5219350010661e+13,,2000,3,2,2,20014,1,7.4,44,44,601,12
6.5219352010661e+13,,2000,3,2,3,20014,1,3.5,32,,972,12
6.5219314010661e+13,,2000,3,3,1,20014,1,5.6,31,31,601,12
6.5219316010661e+13,,2000,3,4,1,20014,1,13,60,40,823,12
6.5219318010661e+13,,2000,3,4,2,20014,2,5.4,39,22,823,12
6.5219320010661e+13,,2000,3,4,3,20014,2,18.3,76,9,601,12
6.5219322010661e+13,,2000,3,4,4,20014,2,7.5,48,5,601,12
6.5219324010661e+13,,2000,3,4,5,20014,1,5.7,28,28,601,12
6.5219326010661e+13,,2000,3,4,6,20014,1,16.3,55,55,823,12
6.5219328010661e+13,,2000,3,4,7,20014,1,20.5,67,67,833,12
6.5219330010661e+13,,2000,3,4,8,20014,1,15.2,70,70,833,12
6.5219332010661e+13,,2000,3,4,9,20014,1,9.4,47,47,823,12
6.5219334010661e+13,,2000,3,4,10,20014,1,9.2,47,47,462,12
6.5219336010661e+13,,2000,3,4,11,20014,1,9.4,55,35,823,12
6.5219338010661e+13,,2000,3,4,12,20014,1,10,34,34,313,12
6.5219124010661e+13,,2000,3,1,3,20120,1,6.7,48,48,951,12
6.5219342010661e+13,,2000,3,4,13,20014,1,13.9,65,45,823,12
6.5219344010661e+13,,2000,3,4,14,20014,1,1.7,20,,972,12
6.5219122010661e+13,,2000,3,1,2,20120,1,10.5,59,59,951,12
6.5219126010661e+13,,2000,3,1,4,20120,1,5,44,44,701,12
6.5219128010661e+13,,2000,3,1,5,20120,1,5.2,41,41,701,12
6.5219130010661e+13,,2000,3,1,6,20120,1,6,43,43,701,12
6.5219132010661e+13,,2000,3,2,1,20120,1,27.6,109,109,742,12
6.5219134010661e+13,,2000,3,2,2,20120,1,2,22,,313,12
6.5219138010661e+13,,2000,3,3,1,20120,1,8.4,45,45,972,12
6.5219140010661e+13,,2000,3,4,1,20120,1,9.1,60,60,922,12
6.5219142010661e+13,,2000,3,4,2,20120,1,5.3,36,36,762,12
6.5219144010661e+13,,2000,3,4,3,20120,1,1.5,18,,766,12
6.5219148010661e+13,,2000,3,4,4,20120,1,1.7,20,,766,12
6.5219152010661e+13,,2000,3,101,1,20120,1,27.6,,,742,12
6.5219163010661e+13,,2000,3,102,1,20120,2,,,,742,12
6.5219169010661e+13,,2000,3,102,2,20120,1,7,,,313,12
6.5219179010661e+13,,2000,3,102,4,20120,1,32.7,,,742,12
6.5219189010661e+13,,2000,3,102,5,20120,2,,,,462,12
6.5219196010661e+13,,2000,3,102,6,20120,2,,,,766,12
6.5219203010661e+13,,2000,3,102,7,20120,2,,,,766,12
6.5219210010661e+13,,2000,3,102,8,20120,1,27.6,,,742,12
6.5219221010661e+13,,2000,3,103,1,20120,2,,,,922,12
6.5219226010661e+13,,2000,3,104,1,20120,1,22.7,,,742,12
6.5219236010661e+13,,2000,3,104,2,20120,1,26.5,,,742,12
6.5219246010661e+13,,2000,3,104,3,20120,1,35.7,,,742,12
6.5219258010661e+13,,2000,3,104,4,20120,2,,,,922,12
6.5219263010661e+13,,2000,3,105,1,20120,2,,,,922,12
6.5219842010661e+13,,2000,3,1,2,20126,1,15.6,53,53,833,12
6.5219844010661e+13,,2000,3,1,5,20126,1,10.8,42,42,833,12
6.5219846010661e+13,,2000,3,1,6,20126,1,11.9,48,48,833,12
6.5219848010661e+13,,2000,3,1,7,20126,1,10.1,64,64,318,12
6.5219850010661e+13,,2000,3,1,8,20126,1,1.7,20,,701,12
6.5219854010661e+13,,2000,3,2,1,20126,1,15.2,57,57,318,12
6.5219856010661e+13,,2000,3,3,1,20126,1,14.3,40,40,802,12
6.5219858010661e+13,,2000,3,3,2,20126,1,10.6,52,52,951,12
6.5219860010661e+13,,2000,3,3,3,20126,2,5.5,40,25,951,12
6.5219870010661e+13,,2000,3,3,7,20126,2,17.7,75,23,833,12
6.5219862010661e+13,,2000,3,3,4,20126,1,7.6,53,53,951,12
6.5219864010661e+13,,2000,3,3,5,20126,1,5.5,37,37,701,12
6.5219866010661e+13,,2000,3,3,6,20126,1,5.4,40,40,701,12
6.5219872010661e+13,,2000,3,3,8,20126,1,2.9,29,,972,12
6.5219876010661e+13,,2000,3,3,9,20126,1,1.2,16,,972,12
6.5219880010661e+13,,2000,3,4,1,20126,2,6.4,44,36,833,12
6.5219882010661e+13,,2000,3,4,2,20126,1,12.8,55,55,951,12
6.5219884010661e+13,,2000,3,4,3,20126,1,10.3,51,51,951,12
6.5219886010661e+13,,2000,3,4,4,20126,1,5.1,39,39,951,12
6.5219888010661e+13,,2000,3,4,5,20126,2,5.4,40,40,951,12
6.5219890010661e+13,,2000,3,4,6,20126,1,6.2,50,50,951,12
6.5219892010661e+13,,2000,3,4,7,20126,1,16.2,52,52,318,12
