"CN","PREV_TRE_CN","INVYR","UNITCD","SUBP","TREE","PLOT","STATUSCD","DIA","HT","ACTUALHT","SPCD","CYCLE"
6.5156229010661e+13,,2000,3,1,1,20057,1,5.3,31,31,972,12
6.5156231010661e+13,,2000,3,1,2,20057,1,9.6,46,46,972,12
6.5156233010661e+13,,2000,3,1,3,20057,1,5.9,22,22,972,12
6.5156235010661e+13,,2000,3,1,4,20057,1,3,29,,972,12
6.5156239010661e+13,,2000,3,2,1,20057,1,27.7,79,79,823,12
6.5156241010661e+13,,2000,3,2,2,20057,1,13.7,59,59,313,12
6.5156243010661e+13,,2000,3,2,3,20057,1,16.1,58,58,313,12
6.5156245010661e+13,,2000,3,2,4,20057,1,2.8,28,,972,12
6.5156249010661e+13,,2000,3,2,5,20057,1,2.3,24,,972,12
6.5156253010661e+13,,2000,3,3,1,20057,1,15.2,54,54,313,12
6.5156255010661e+13,,2000,3,3,2,20057,1,13.3,54,54,313,12
6.5156257010661e+13,,2000,3,3,3,20057,1,9.6,63,63,746,12
6.5156259010661e+13,,2000,3,3,4,20057,1,6.2,55,55,746,12
6.5156262010661e+13,,2000,3,3,5,20057,1,5.1,47,47,746,12
6.5156265010661e+13,,2000,3,3,6,20057,1,9.4,62,62,746,12
6.5156267010661e+13,,2000,3,3,7,20057,1,5.4,49,49,746,12
6.5156269010661e+13,,2000,3,3,8,20057,2,9.4,55,47,972,12
6.5156271010661e+13,,2000,3,3,9,20057,2,5.2,45,45,972,12
6.5156273010661e+13,,2000,3,3,10,20057,2,8.6,52,46,972,12
6.5156275010661e+13,,2000,3,3,11,20057,1,6.7,43,43,313,12
6.5156277010661e+13,,2000,3,3,12,20057,1,10.5,36,36,313,12
6.5156792010661e+13,,2000,3,1,2,20058,1,7.2,37,37,544,12
6.5156279010661e+13,,2000,3,3,13,20057,1,3.6,33,,746,12
6.5156285010661e+13,,2000,3,3,14,20057,1,2.9,29,,746,12
6.5156790010661e+13,,2000,3,1,1,20058,1,6.3,36,36,544,12
6.5156794010661e+13,,2000,3,1,3,20058,1,6.7,45,45,544,12
6.5156796010661e+13,,2000,3,1,4,20058,1,7.2,46,46,402,12
6.5156798010661e+13,,2000,3,1,5,20058,1,6,44,44,544,12
6.5156800010661e+13,,2000,3,2,1,20058,1,1.2,10,10,972,12
6.5156804010661e+13,,2000,3,2,2,20058,1,8,53,53,544,12
6.5156806010661e+13,,2000,3,2,3,20058,1,5.7,41,41,544,12
6.5156808010661e+13,,2000,3,2,4,20058,1,9.8,80,80,544,12
6.5156810010661e+13,,2000,3,2,5,20058,1,11.9,77,77,402,12
