"CN","PREV_TRE_CN","INVYR","UNITCD","SUBP","TREE","PLOT","STATUSCD","DIA","HT","ACTUALHT","SPCD","CYCLE"
6.5269802010661e+13,,2000,4,1,1,20330,1,10.5,48,48,922,12
6.5269807010661e+13,,2000,4,1,2,20330,1,12.2,48,48,922,12
6.5269813010661e+13,,2000,4,1,3,20330,1,12.7,44,44,922,12
6.5269817010661e+13,,2000,4,1,4,20330,1,9.7,10,10,922,12
6.5269823010661e+13,,2000,4,1,5,20330,1,5,16,16,922,12
6.5269829010661e+13,,2000,4,1,6,20330,1,12.3,47,47,922,12
6.5269834010661e+13,,2000,4,1,7,20330,1,7,39,39,922,12
6.5269839010661e+13,,2000,4,1,8,20330,1,13.2,50,50,922,12
6.5269845010661e+13,,2000,4,1,9,20330,1,10.6,48,48,922,12
6.5269851010661e+13,,2000,4,1,10,20330,1,9.1,48,48,922,12
6.5269856010661e+13,,2000,4,1,11,20330,1,11.3,48,48,922,12
6.5269862010661e+13,,2000,4,1,12,20330,1,3.7,33,,543,12
6.5269882010661e+13,,2000,4,2,3,20330,1,12,35,35,922,12
6.5269893010661e+13,,2000,4,2,5,20330,1,9.7,20,20,922,12
6.5269871010661e+13,,2000,4,2,1,20330,1,8.7,23,23,922,12
6.5269877010661e+13,,2000,4,2,2,20330,1,9.5,35,35,922,12
6.5269888010661e+13,,2000,4,2,4,20330,1,9.6,20,20,922,12
6.5269899010661e+13,,2000,4,2,6,20330,1,10,23,23,922,12
6.5269905010661e+13,,2000,4,2,7,20330,1,9.7,15,15,922,12
6.5269910010661e+13,,2000,4,4,1,20330,1,8.9,49,49,922,12
6.5269915010661e+13,,2000,4,4,2,20330,1,11.4,50,50,922,12
6.5269921010661e+13,,2000,4,4,3,20330,1,11.9,50,50,922,12
6.5269927010661e+13,,2000,4,4,4,20330,1,8.8,49,49,922,12
6.5269932010661e+13,,2000,4,4,5,20330,2,6.5,44,25,922,12
6.5269938010661e+13,,2000,4,4,6,20330,1,7.9,45,45,922,12
6.5269943010661e+13,,2000,4,4,7,20330,1,10.1,45,45,922,12
6.5269949010661e+13,,2000,4,4,8,20330,1,5.4,32,22,922,12
6.5269953010661e+13,,2000,4,4,9,20330,1,8.5,45,45,922,12
6.5269959010661e+13,,2000,4,4,10,20330,1,8.1,45,45,922,12
6.5269963010661e+13,,2000,4,4,11,20330,1,5.5,30,20,922,12
6.5269969010661e+13,,2000,4,4,12,20330,1,12.1,49,49,922,12
6.5269974010661e+13,,2000,4,4,13,20330,2,7,46,18,922,12
6.5269979010661e+13,,2000,4,4,14,20330,1,7.5,32,22,922,12
6.5269985010661e+13,,2000,4,4,15,20330,1,7,34,24,922,12
6.5269991010661e+13,,2000,4,4,16,20330,1,5.4,22,15,922,12
6.5269997010661e+13,,2000,4,4,17,20330,1,13,53,53,922,12
6.5270002010661e+13,,2000,4,4,18,20330,1,9.7,34,28,922,12
6.5270007010661e+13,,2000,4,4,19,20330,1,9.1,36,30,922,12
6.5270013010661e+13,,2000,4,4,20,20330,1,14.1,53,53,922,12
6.5728185010661e+13,,2001,4,2,1,20126,1,8.3,48,48,746,12
6.5728187010661e+13,,2001,4,2,2,20126,2,6.9,48,46,746,12
6.5728191010661e+13,,2001,4,2,4,20126,1,6.9,50,50,746,12
6.5728197010661e+13,,2001,4,3,2,20126,1,6.5,34,22,746,12
6.5728189010661e+13,,2001,4,2,3,20126,1,6.8,48,48,746,12
6.5728193010661e+13,,2001,4,2,5,20126,1,2,22,,746,12
6.5728195010661e+13,,2001,4,3,1,20126,1,5.5,24,14,746,12
6.5728199010661e+13,,2001,4,3,3,20126,1,3.2,30,,746,12
