"CN","PREV_TRE_CN","INVYR","UNITCD","SUBP","TREE","PLOT","STATUSCD","DIA","HT","ACTUALHT","SPCD","CYCLE"
6.5356558010661e+13,,2000,4,1,4,20059,1,5.2,30,30,313,12
6.5356560010661e+13,,2000,4,1,5,20059,1,3.7,33,,313,12
6.5356564010661e+13,,2000,4,2,1,20059,1,5.2,20,20,313,12
6.5356566010661e+13,,2000,4,2,2,20059,1,5.2,25,25,313,12
6.5356568010661e+13,,2000,4,2,3,20059,1,41.4,80,80,742,12
6.5356570010661e+13,,2000,4,2,4,20059,2,9.2,54,40,972,12
6.5356572010661e+13,,2000,4,2,5,20059,1,14.2,62,62,544,12
6.5356574010661e+13,,2000,4,2,6,20059,1,17.8,63,63,544,12
6.5356576010661e+13,,2000,4,2,7,20059,1,3.5,32,,313,12
6.5356580010661e+13,,2000,4,2,8,20059,1,1.8,21,,313,12
6.5356584010661e+13,,2000,4,3,1,20059,2,5.8,41,40,313,12
6.5356586010661e+13,,2000,4,4,1,20059,1,5,27,27,313,12
6.5356588010661e+13,,2000,4,4,2,20059,1,5.2,43,43,313,12
6.5356590010661e+13,,2000,4,4,3,20059,1,10.5,37,37,975,12
6.5356592010661e+13,,2000,4,4,4,20059,2,13,65,26,313,12
6.5356594010661e+13,,2000,4,4,5,20059,1,8,40,40,544,12
6.5356596010661e+13,,2000,4,101,1,20059,2,43.4,,,742,12
6.5356603010661e+13,,2000,4,101,2,20059,1,52.6,,,922,12
6.5356614010661e+13,,2000,4,101,3,20059,2,49.2,,,742,12
6.5356621010661e+13,,2000,4,102,1,20059,1,41.4,,,742,12
6.5356632010661e+13,,2000,4,102,2,20059,2,39.7,,,742,12
6.5356639010661e+13,,2000,4,102,3,20059,1,11.7,,,313,12
6.5356649010661e+13,,2000,4,102,4,20059,2,,,,313,12
6.5356654010661e+13,,2000,4,102,5,20059,1,18.5,,,544,12
6.5356664010661e+13,,2000,4,102,6,20059,1,2.6,,,313,12
6.5356671010661e+13,,2000,4,102,7,20059,2,,,,313,12
6.5356679010661e+13,,2000,4,102,8,20059,2,8.6,,,742,12
6.5356685010661e+13,,2000,4,103,1,20059,2,49.6,,,742,12
6.5356692010661e+13,,2000,4,103,2,20059,2,39.7,,,742,12
6.5356699010661e+13,,2000,4,103,3,20059,1,41.4,,,742,12
6.5356710010661e+13,,2000,4,103,4,20059,2,20.6,,,313,12
6.5356716010661e+13,,2000,4,103,5,20059,1,4.3,,,313,12
6.5356723010661e+13,,2000,4,103,6,20059,2,,,,313,12
6.5356731010661e+13,,2000,4,103,7,20059,2,11.7,,,742,12
6.5356737010661e+13,,2000,4,103,8,20059,1,11.9,,,544,12
6.5356747010661e+13,,2000,4,104,1,20059,2,25.7,,,742,12
6.5356753010661e+13,,2000,4,104,2,20059,2,39.7,,,742,12
6.5356760010661e+13,,2000,4,104,3,20059,1,41.4,,,742,12
6.5356771010661e+13,,2000,4,104,4,20059,1,20.9,,,922,12
6.5356781010661e+13,,2000,4,105,1,20059,2,13.9,,,544,12
6.5356945010661e+13,,2000,4,1,3,20349,1,6.4,20,20,313,12
6.5356787010661e+13,,2000,4,105,2,20059,2,39.9,,,742,12
6.5356941010661e+13,,2000,4,1,1,20349,1,10.4,31,31,313,12
6.5356943010661e+13,,2000,4,1,2,20349,1,14.4,41,41,544,12
6.5356947010661e+13,,2000,4,1,4,20349,1,14.8,45,45,544,12
6.5356949010661e+13,,2000,4,1,5,20349,1,10.6,38,38,544,12
6.5356952010661e+13,,2000,4,1,6,20349,1,8,25,25,313,12
6.5356954010661e+13,,2000,4,2,1,20349,1,10.3,26,26,313,12
6.5356956010661e+13,,2000,4,2,2,20349,1,14.1,46,46,313,12
6.5356958010661e+13,,2000,4,2,3,20349,2,12.6,64,25,313,12
6.5356960010661e+13,,2000,4,2,4,20349,1,15.8,40,23,313,12
6.5356962010661e+13,,2000,4,2,5,20349,1,13.1,33,33,313,12
6.5356964010661e+13,,2000,4,2,6,20349,1,15.2,50,35,313,12
9.9032002010661e+13,6.5356558010661e+13,2005,4,1,4,20059,2,,,,313,13
9.9032004010661e+13,6.5356560010661e+13,2005,4,1,5,20059,2,,,,313,13
9.9032006010661e+13,,2005,4,1,6,20059,1,6,28,28,313,13
9.9032008010661e+13,6.5356564010661e+13,2005,4,2,1,20059,1,5.7,18,18,313,13
9.9032010010661e+13,6.5356566010661e+13,2005,4,2,2,20059,1,6.8,28,28,313,13
9.9032012010661e+13,6.5356568010661e+13,2005,4,2,3,20059,1,42.5,84,84,742,13
9.9032014010661e+13,6.5356570010661e+13,2005,4,2,4,20059,2,,,,972,13
9.9032016010661e+13,6.5356572010661e+13,2005,4,2,5,20059,1,14.5,48,48,544,13
9.9032018010661e+13,6.5356574010661e+13,2005,4,2,6,20059,1,19,58,58,544,13
9.9032020010661e+13,6.5356576010661e+13,2005,4,2,7,20059,1,4.6,38,,313,13
9.9032022010661e+13,6.5356580010661e+13,2005,4,2,8,20059,1,2.2,24,,313,13
9.9032024010661e+13,6.5356584010661e+13,2005,4,3,1,20059,2,,,,313,13
9.9032026010661e+13,,2005,4,3,2,20059,2,25.8,86,5,313,13
9.9032028010661e+13,6.5356586010661e+13,2005,4,4,1,20059,1,6.3,26,26,313,13
9.9032032010661e+13,6.5356590010661e+13,2005,4,4,3,20059,2,,,,975,13
9.9032034010661e+13,6.5356592010661e+13,2005,4,4,4,20059,2,,,,313,13
9.9032036010661e+13,6.5356594010661e+13,2005,4,4,5,20059,1,8.2,46,46,544,13
9.9032038010661e+13,,2005,4,4,6,20059,1,24.1,48,48,313,13
9.9032127010661e+13,6.5356941010661e+13,2005,4,1,1,20349,1,10.7,42,42,313,13
9.9032133010661e+13,6.5356947010661e+13,2005,4,1,4,20349,1,15.9,56,56,544,13
9.9032030010661e+13,6.5356588010661e+13,2005,4,4,2,20059,2,,,,313,13
9.9032129010661e+13,6.5356943010661e+13,2005,4,1,2,20349,1,15.5,48,48,544,13
9.9032131010661e+13,6.5356945010661e+13,2005,4,1,3,20349,1,7.1,30,30,313,13
9.9032135010661e+13,6.5356949010661e+13,2005,4,1,5,20349,1,10.8,38,38,544,13
9.9032137010661e+13,6.5356952010661e+13,2005,4,1,6,20349,1,8.1,24,24,313,13
9.9032139010661e+13,6.5356954010661e+13,2005,4,2,1,20349,1,10.8,24,24,313,13
9.9032141010661e+13,6.5356956010661e+13,2005,4,2,2,20349,1,14.6,40,40,313,13
9.9032143010661e+13,6.5356958010661e+13,2005,4,2,3,20349,2,12.6,64,26,313,13
9.9032145010661e+13,6.5356960010661e+13,2005,4,2,4,20349,2,,,,313,13
9.9032147010661e+13,6.5356962010661e+13,2005,4,2,5,20349,1,13.6,46,46,313,13
9.9032149010661e+13,6.5356964010661e+13,2005,4,2,6,20349,1,15.2,46,46,313,13
2.45896629010661e+14,9.9032006010661e+13,2010,4,1,6,20059,0,,,,313,14
2.45896630010661e+14,9.9032008010661e+13,2010,4,2,1,20059,0,,,,313,14
2.45896631010661e+14,9.9032010010661e+13,2010,4,2,2,20059,0,,,,313,14
2.45896632010661e+14,9.9032012010661e+13,2010,4,2,3,20059,0,,,,742,14
2.45896633010661e+14,9.9032016010661e+13,2010,4,2,5,20059,0,,,,544,14
