"CN","PREV_TRE_CN","INVYR","UNITCD","SUBP","TREE","PLOT","STATUSCD","DIA","HT","ACTUALHT","SPCD","CYCLE"
6.5158928010661e+13,,2000,3,1,1,20077,1,18.2,90,90,318,12
6.5158930010661e+13,,2000,3,1,2,20077,1,7,50,50,462,12
6.5158932010661e+13,,2000,3,1,3,20077,1,6.7,55,55,701,12
6.5158934010661e+13,,2000,3,1,4,20077,2,10.8,59,6,313,12
6.5158936010661e+13,,2000,3,1,5,20077,1,12.2,65,65,313,12
6.5158938010661e+13,,2000,3,1,6,20077,1,9.6,75,75,318,12
6.5158940010661e+13,,2000,3,1,7,20077,1,6.6,43,43,318,12
6.5158942010661e+13,,2000,3,2,1,20077,1,8.9,67,67,544,12
6.5158948010661e+13,,2000,3,3,3,20077,1,9.9,52,30,951,12
6.5158944010661e+13,,2000,3,3,1,20077,1,14.6,67,67,972,12
6.5158946010661e+13,,2000,3,3,2,20077,1,25.6,76,76,601,12
6.5158952010661e+13,,2000,3,4,1,20077,1,9.8,80,80,318,12
6.5158958010661e+13,,2000,3,4,2,20077,1,6,67,67,318,12
6.5158960010661e+13,,2000,3,4,3,20077,1,8.2,60,60,762,12
6.5158962010661e+13,,2000,3,4,4,20077,1,6.1,57,57,762,12
6.5158964010661e+13,,2000,3,4,5,20077,1,9.5,67,67,762,12
6.5158966010661e+13,,2000,3,4,6,20077,1,18.4,86,86,833,12
6.5158968010661e+13,,2000,3,4,7,20077,1,7.5,45,45,951,12
6.5158970010661e+13,,2000,3,4,8,20077,1,11.9,72,72,951,12
6.5158972010661e+13,,2000,3,4,9,20077,1,12.5,75,75,951,12
6.5158974010661e+13,,2000,3,4,10,20077,1,1.4,17,,701,12
6.5158980010661e+13,,2000,3,4,11,20077,1,3.8,34,,701,12
6.5158777010661e+13,,2000,3,2,1,20258,1,15.5,58,58,922,12
6.5158781010661e+13,,2000,3,2,2,20258,1,14.4,61,61,922,12
6.5158785010661e+13,,2000,3,2,3,20258,1,2.9,29,,544,12
6.5158789010661e+13,,2000,3,3,1,20258,1,9.9,76,76,742,12
6.5158791010661e+13,,2000,3,3,2,20258,1,9.3,62,62,742,12
6.5158793010661e+13,,2000,3,3,3,20258,1,8.9,61,61,742,12
6.5158795010661e+13,,2000,3,3,4,20258,1,8.4,45,45,742,12
6.5158797010661e+13,,2000,3,3,5,20258,1,13.5,95,95,742,12
6.5158799010661e+13,,2000,3,3,6,20258,1,5.4,39,39,313,12
6.5158801010661e+13,,2000,3,3,7,20258,1,5.4,43,43,313,12
6.5158803010661e+13,,2000,3,3,8,20258,1,16.6,102,102,742,12
6.5158805010661e+13,,2000,3,3,9,20258,1,10.6,70,70,742,12
6.5158811010661e+13,,2000,3,3,10,20258,1,5,39,39,313,12
6.5158813010661e+13,,2000,3,3,11,20258,1,12.5,91,91,742,12
6.5158815010661e+13,,2000,3,3,12,20258,1,9.3,84,84,742,12
6.5158821010661e+13,,2000,3,3,15,20258,1,6.4,48,48,742,12
6.5158817010661e+13,,2000,3,3,13,20258,1,7.1,52,47,742,12
6.5158819010661e+13,,2000,3,3,14,20258,1,8.1,55,55,742,12
6.5158826010661e+13,,2000,3,3,16,20258,1,11.5,95,95,742,12
6.5158829010661e+13,,2000,3,3,17,20258,1,6.5,39,39,313,12
6.5158831010661e+13,,2000,3,3,18,20258,1,5.4,43,40,742,12
6.5158833010661e+13,,2000,3,3,19,20258,1,13.2,100,100,742,12
6.5158835010661e+13,,2000,3,3,20,20258,1,4.1,36,,313,12
6.5158679010661e+13,,2000,3,3,1,20260,1,5,37,37,833,12
6.5158681010661e+13,,2000,3,3,2,20260,1,5.5,47,47,746,12
6.5158683010661e+13,,2000,3,3,3,20260,1,9.3,40,40,833,12
6.5158685010661e+13,,2000,3,3,4,20260,1,6.3,31,31,68,12
6.5158687010661e+13,,2000,3,3,5,20260,1,5.3,31,31,544,12
6.5774921010661e+13,,2001,3,1,1,20044,1,8.4,44,44,543,12
6.5774923010661e+13,,2001,3,1,2,20044,1,6,42,42,543,12
6.5774919010661e+13,,2001,3,1,3,20044,1,6.3,44,44,972,12
6.5774907010661e+13,,2001,3,1,4,20044,1,7.5,48,48,972,12
6.5774909010661e+13,,2001,3,1,5,20044,1,11.8,54,54,746,12
6.5774911010661e+13,,2001,3,1,6,20044,1,11.3,52,52,972,12
6.5774913010661e+13,,2001,3,1,7,20044,1,7.8,42,42,746,12
6.5774915010661e+13,,2001,3,1,8,20044,1,10.2,50,50,972,12
6.5774917010661e+13,,2001,3,1,9,20044,1,6.1,50,50,543,12
6.5774925010661e+13,,2001,3,2,1,20044,1,8.9,42,42,746,12
6.5774927010661e+13,,2001,3,2,2,20044,1,5,24,24,972,12
6.5774929010661e+13,,2001,3,3,1,20044,1,11.3,58,58,746,12
6.5774931010661e+13,,2001,3,3,2,20044,1,10.3,56,56,746,12
6.5774933010661e+13,,2001,3,3,3,20044,2,12.7,52,50,746,12
6.5774935010661e+13,,2001,3,3,4,20044,1,11.2,62,62,746,12
6.5774937010661e+13,,2001,3,3,5,20044,1,1.1,15,,762,12
6.5775349010661e+13,,2001,3,1,4,20076,1,6,40,40,951,12
6.5775343010661e+13,,2001,3,1,1,20076,1,6.3,46,46,833,12
6.5775345010661e+13,,2001,3,1,2,20076,1,5.2,38,38,951,12
6.5775347010661e+13,,2001,3,1,3,20076,1,5.7,30,30,833,12
6.5775351010661e+13,,2001,3,1,5,20076,1,6.7,44,44,951,12
6.5775353010661e+13,,2001,3,1,6,20076,1,6.3,42,42,951,12
6.5775355010661e+13,,2001,3,1,7,20076,1,6.1,44,44,833,12
6.5775357010661e+13,,2001,3,1,8,20076,1,5.6,40,40,833,12
6.5775359010661e+13,,2001,3,1,9,20076,1,4.4,37,,833,12
6.5775341010661e+13,,2001,3,1,10,20076,1,1.1,15,,951,12
6.5775361010661e+13,,2001,3,3,1,20076,1,6.3,40,40,951,12
6.5775363010661e+13,,2001,3,3,2,20076,1,5.6,42,42,951,12
6.5775365010661e+13,,2001,3,3,3,20076,1,5,40,40,951,12
6.5775367010661e+13,,2001,3,3,4,20076,1,5.1,46,46,541,12
6.5775369010661e+13,,2001,3,3,5,20076,1,5.7,46,46,951,12
6.5775371010661e+13,,2001,3,3,6,20076,1,2.7,27,,951,12
6.5775373010661e+13,,2001,3,3,7,20076,1,3.3,31,,951,12
6.5775375010661e+13,,2001,3,3,8,20076,1,4.7,39,,541,12
6.5775377010661e+13,,2001,3,3,9,20076,1,2.7,27,,951,12
6.5775379010661e+13,,2001,3,4,1,20076,2,5.9,36,12,972,12
6.5775381010661e+13,,2001,3,4,2,20076,1,7.2,48,48,972,12
6.5775383010661e+13,,2001,3,4,3,20076,1,5.6,58,58,951,12
6.5775385010661e+13,,2001,3,4,4,20076,1,8.1,54,54,951,12
6.5775387010661e+13,,2001,3,4,5,20076,1,6.9,54,54,951,12
6.5775389010661e+13,,2001,3,4,6,20076,1,5.3,48,48,951,12
6.5775391010661e+13,,2001,3,4,7,20076,1,5.3,38,38,951,12
6.5775393010661e+13,,2001,3,4,8,20076,1,6.3,42,42,951,12
