"CN","PREV_TRE_CN","INVYR","UNITCD","SUBP","TREE","PLOT","STATUSCD","DIA","HT","ACTUALHT","SPCD","CYCLE"
6.5177698010661e+13,,2000,2,1,1,20025,1,12.7,75,75,746,12
6.5177700010661e+13,,2000,2,1,2,20025,1,23.2,82,82,746,12
6.5177702010661e+13,,2000,2,1,3,20025,1,13.8,62,62,129,12
6.5177704010661e+13,,2000,2,1,4,20025,1,1.2,16,,823,12
6.5177708010661e+13,,2000,2,2,1,20025,1,11.4,58,58,746,12
6.5177710010661e+13,,2000,2,2,2,20025,1,18.8,76,76,746,12
6.5177712010661e+13,,2000,2,2,3,20025,1,15,62,62,746,12
6.5177714010661e+13,,2000,2,2,4,20025,1,16.3,74,74,746,12
6.5177716010661e+13,,2000,2,2,5,20025,2,13.5,66,8,105,12
6.5177718010661e+13,,2000,2,2,6,20025,2,9.6,56,18,105,12
6.5177723010661e+13,,2000,2,2,7,20025,1,13.9,72,72,129,12
6.5177726010661e+13,,2000,2,2,8,20025,2,7.2,47,24,105,12
6.5177728010661e+13,,2000,2,2,9,20025,1,1.5,18,,762,12
6.5177732010661e+13,,2000,2,3,1,20025,1,13.3,76,76,129,12
6.5177734010661e+13,,2000,2,3,2,20025,1,9.6,50,32,129,12
6.5177736010661e+13,,2000,2,3,3,20025,2,10.3,58,15,105,12
6.5177738010661e+13,,2000,2,3,4,20025,1,14.6,68,68,746,12
6.5177740010661e+13,,2000,2,3,5,20025,1,11.1,60,60,746,12
6.5177742010661e+13,,2000,2,3,6,20025,1,7.6,48,48,129,12
6.5177746010661e+13,,2000,2,3,7,20025,1,11.1,62,62,129,12
6.5177748010661e+13,,2000,2,3,8,20025,1,1.2,16,,746,12
6.5177752010661e+13,,2000,2,4,1,20025,2,12.7,64,55,746,12
6.5177754010661e+13,,2000,2,4,2,20025,1,14.6,70,70,746,12
6.5177756010661e+13,,2000,2,4,3,20025,1,14.9,50,50,746,12
6.5177758010661e+13,,2000,2,4,4,20025,1,6.7,42,42,129,12
6.5177760010661e+13,,2000,2,4,5,20025,2,10,57,18,129,12
6.5177762010661e+13,,2000,2,4,6,20025,1,11.1,48,48,129,12
6.5177764010661e+13,,2000,2,101,1,20025,1,12.7,,,746,12
6.5177774010661e+13,,2000,2,101,2,20025,1,23.2,,,746,12
6.5177784010661e+13,,2000,2,102,1,20025,2,12.1,,,105,12
6.5177790010661e+13,,2000,2,102,2,20025,1,7.2,,,746,12
6.5177802010661e+13,,2000,2,103,1,20025,2,6.9,,,129,12
6.5177808010661e+13,,2000,2,103,3,20025,1,4.7,,,375,12
6.5177815010661e+13,,2000,2,103,4,20025,1,2.2,,,762,12
6.5177822010661e+13,,2000,2,103,5,20025,1,1.8,,,375,12
6.5177829010661e+13,,2000,2,104,1,20025,2,12.6,,,746,12
6.5177835010661e+13,,2000,2,104,2,20025,1,15.3,,,746,12
6.5177845010661e+13,,2000,2,104,3,20025,1,18.6,,,746,12
6.5177857010661e+13,,2000,2,104,4,20025,2,15.8,,,746,12
6.5177863010661e+13,,2000,2,104,5,20025,2,13.2,,,746,12
6.5177869010661e+13,,2000,2,105,1,20025,1,17.4,,,746,12
6.5177879010661e+13,,2000,2,105,3,20025,2,21.2,,,746,12
6.5172291010661e+13,,2000,2,1,5,20092,1,3.3,31,,316,12
6.5172281010661e+13,,2000,2,1,2,20092,2,5.2,39,39,972,12
6.5172285010661e+13,,2000,2,1,3,20092,1,7.8,48,48,833,12
