"CN","PREV_TRE_CN","INVYR","UNITCD","SUBP","TREE","PLOT","STATUSCD","DIA","HT","ACTUALHT","SPCD","CYCLE"
6.5152645010661e+13,,2000,4,3,1,20102,1,9.9,48,48,313,12
6.5152647010661e+13,,2000,4,3,2,20102,1,8.1,48,48,313,12
6.5152649010661e+13,,2000,4,3,3,20102,1,8.4,50,50,313,12
6.5152651010661e+13,,2000,4,3,4,20102,1,12.8,48,48,313,12
6.5152653010661e+13,,2000,4,3,5,20102,1,3.5,32,,313,12
6.5825359010661e+13,,2001,4,1,4,20233,1,12.8,80,80,742,12
6.5825361010661e+13,,2001,4,1,5,20233,1,9,80,80,742,12
6.5825363010661e+13,,2001,4,1,6,20233,1,8.5,52,52,544,12
6.5825365010661e+13,,2001,4,1,7,20233,1,7.8,39,39,313,12
6.5825367010661e+13,,2001,4,1,8,20233,1,8.4,40,40,313,12
6.5825369010661e+13,,2001,4,1,9,20233,1,10.1,45,45,313,12
6.5825371010661e+13,,2001,4,1,10,20233,1,5.4,39,39,977,12
6.5825373010661e+13,,2001,4,1,11,20233,1,7.9,47,47,313,12
6.5825375010661e+13,,2001,4,1,12,20233,1,1.1,15,,975,12
6.5825377010661e+13,,2001,4,1,13,20233,1,1.5,18,,602,12
6.5825387010661e+13,,2001,4,3,1,20233,1,5.2,38,38,977,12
6.5825389010661e+13,,2001,4,3,2,20233,1,5.4,38,38,951,12
6.5825391010661e+13,,2001,4,3,3,20233,1,6.3,35,35,972,12
6.5825393010661e+13,,2001,4,3,4,20233,1,1.7,20,,833,12
6.5825385010661e+13,,2001,4,3,5,20233,1,1.2,16,,802,12
6.5825379010661e+13,,2001,4,3,6,20233,1,1,14,,318,12
6.5825381010661e+13,,2001,4,3,7,20233,1,3.9,35,,833,12
6.5825383010661e+13,,2001,4,3,8,20233,1,1.9,21,,833,12
6.5825395010661e+13,,2001,4,4,1,20233,1,6.5,40,40,602,12
6.5825397010661e+13,,2001,4,4,2,20233,1,21.6,106,106,602,12
6.5825399010661e+13,,2001,4,4,3,20233,1,21.9,106,106,602,12
6.5825401010661e+13,,2001,4,101,3,20233,1,2.4,,,972,12
