"CN","PREV_TRE_CN","INVYR","UNITCD","SUBP","TREE","PLOT","STATUSCD","DIA","HT","ACTUALHT","SPCD","CYCLE"
9.2629257010661e+13,6.5024704010661e+13,2004,4,2,1,20450,1,18.6,61,61,544,13
9.2629259010661e+13,6.5024720010661e+13,2004,4,2,2,20450,1,11.8,52,52,972,13
9.2629261010661e+13,6.5024738010661e+13,2004,4,2,3,20450,1,16.8,22,22,313,13
9.2629263010661e+13,,2004,4,2,4,20450,1,1,14,,316,13
9.2629265010661e+13,,2004,4,2,5,20450,1,1.2,16,,972,13
9.2629267010661e+13,,2004,4,2,6,20450,1,1.2,16,,972,13
9.2309550010661e+13,,2004,4,1,1,20520,1,5.1,24,24,68,13
9.2309552010661e+13,,2004,4,1,2,20520,1,9.4,29,29,68,13
9.2309554010661e+13,,2004,4,1,3,20520,1,6.4,24,24,68,13
9.2309556010661e+13,,2004,4,1,4,20520,1,7.2,19,19,57,13
9.2309559010661e+13,,2004,4,1,5,20520,1,5.5,22,22,57,13
9.2309562010661e+13,,2004,4,1,6,20520,1,2.7,21,,68,13
9.2309564010661e+13,,2004,4,3,1,20520,1,11.8,42,42,823,13
9.2309566010661e+13,,2004,4,3,2,20520,1,14.8,45,45,833,13
9.2309568010661e+13,,2004,4,3,3,20520,1,6.1,32,32,68,13
9.2309570010661e+13,,2004,4,3,4,20520,1,14.6,48,48,802,13
9.2309572010661e+13,,2004,4,3,5,20520,1,5.1,35,35,68,13
9.2309574010661e+13,,2004,4,3,6,20520,1,7.9,36,36,68,13
9.2309576010661e+13,,2004,4,3,7,20520,1,5.7,37,37,68,13
9.2309578010661e+13,,2004,4,3,8,20520,2,14.6,69,9,802,13
9.2309522010661e+13,,2004,4,3,9,20520,2,12.6,64,7,802,13
9.2309524010661e+13,,2004,4,3,10,20520,1,7.1,19,19,68,13
9.2309526010661e+13,,2004,4,3,11,20520,1,6.9,39,39,68,13
9.2309528010661e+13,,2004,4,3,12,20520,1,3.6,26,,68,13
9.2309530010661e+13,,2004,4,3,13,20520,1,2.2,18,,68,13
9.2309532010661e+13,,2004,4,4,1,20520,1,13.3,36,36,68,13
9.2309534010661e+13,,2004,4,4,2,20520,1,9.3,33,33,68,13
9.2309536010661e+13,,2004,4,4,3,20520,1,9.5,33,33,68,13
9.2309538010661e+13,,2004,4,4,4,20520,1,8,33,33,68,13
9.2309540010661e+13,,2004,4,4,5,20520,1,6.1,31,31,68,13
9.2309542010661e+13,,2004,4,4,6,20520,1,8.4,33,33,68,13
9.2309544010661e+13,,2004,4,4,7,20520,1,6.5,13,13,68,13
9.2309546010661e+13,,2004,4,4,8,20520,1,1.3,13,,68,13
9.2309548010661e+13,,2004,4,4,9,20520,1,2.3,19,,68,13
1.56088382010661e+14,,2007,4,1,1,20065,1,7.8,37,37,68,13
1.56088383010661e+14,,2007,4,1,2,20065,1,6,34,34,68,13
1.56088384010661e+14,,2007,4,1,3,20065,1,6.8,40,40,68,13
1.56088385010661e+14,,2007,4,1,4,20065,1,6.1,43,43,68,13
1.56088386010661e+14,,2007,4,1,5,20065,1,7.9,34,34,68,13
1.56088387010661e+14,,2007,4,1,6,20065,1,18.2,54,54,823,13
1.56088388010661e+14,,2007,4,1,7,20065,1,16.2,54,54,823,13
1.56088389010661e+14,,2007,4,2,1,20065,1,6.1,34,34,602,13
1.56088390010661e+14,,2007,4,2,2,20065,1,5.4,36,36,602,13
1.56088391010661e+14,,2007,4,2,3,20065,1,9.3,37,37,68,13
1.56088392010661e+14,,2007,4,2,4,20065,1,8,38,38,68,13
1.56088393010661e+14,,2007,4,2,5,20065,1,14.5,74,74,602,13
1.56088397010661e+14,,2007,4,3,2,20065,1,20.1,44,44,951,13
1.56088394010661e+14,,2007,4,2,6,20065,1,8.5,38,18,68,13
1.56088395010661e+14,,2007,4,2,7,20065,1,8.3,34,34,68,13
1.56088396010661e+14,,2007,4,3,1,20065,1,6.3,43,43,68,13
1.56088398010661e+14,,2007,4,3,3,20065,1,5.1,28,28,68,13
1.56088399010661e+14,,2007,4,3,4,20065,1,6.7,35,35,823,13
1.56088400010661e+14,,2007,4,3,5,20065,1,10.3,43,43,823,13
1.56088401010661e+14,,2007,4,3,6,20065,1,6.2,37,37,68,13
1.56088402010661e+14,,2007,4,3,7,20065,1,6.6,40,40,68,13
1.56088403010661e+14,,2007,4,3,8,20065,1,6.9,36,36,68,13
1.56088404010661e+14,,2007,4,3,9,20065,1,8,40,40,68,13
1.56088405010661e+14,,2007,4,3,10,20065,1,5.5,34,34,68,13
1.56088406010661e+14,,2007,4,3,11,20065,1,5.3,37,37,68,13
1.56088407010661e+14,,2007,4,3,12,20065,1,6.8,41,41,68,13
1.56088376010661e+14,,2007,4,3,13,20065,1,8.9,42,42,68,13
1.56088377010661e+14,,2007,4,4,1,20065,1,5,27,27,68,13
1.56088378010661e+14,,2007,4,4,2,20065,1,15.3,60,60,823,13
