"CN","PREV_TRE_CN","INVYR","UNITCD","SUBP","TREE","PLOT","STATUSCD","DIA","HT","ACTUALHT","SPCD","CYCLE"
6.5188211010661e+13,,2000,1,1,1,20300,2,7,46,17,12,12
6.5188213010661e+13,,2000,1,1,2,20300,1,14.1,74,74,375,12
6.5188215010661e+13,,2000,1,1,3,20300,1,11.4,64,64,375,12
6.5188217010661e+13,,2000,1,1,4,20300,1,8.6,57,57,12,12
6.5188219010661e+13,,2000,1,1,5,20300,1,11.9,77,77,375,12
6.5188221010661e+13,,2000,1,1,6,20300,2,10.2,57,12,375,12
6.5188223010661e+13,,2000,1,1,7,20300,1,11.6,73,73,375,12
6.5188225010661e+13,,2000,1,1,8,20300,1,6.6,36,36,241,12
6.5188227010661e+13,,2000,1,1,9,20300,2,5.2,38,8,241,12
6.5188229010661e+13,,2000,1,1,10,20300,1,6.3,47,47,12,12
6.5188231010661e+13,,2000,1,1,11,20300,1,16.8,84,84,375,12
6.5188233010661e+13,,2000,1,1,12,20300,1,7.4,55,55,375,12
6.5188235010661e+13,,2000,1,1,13,20300,1,7.5,34,34,241,12
6.5188249010661e+13,,2000,1,1,17,20300,1,4.7,31,,241,12
6.5188237010661e+13,,2000,1,1,14,20300,1,7.9,43,43,241,12
6.5188241010661e+13,,2000,1,1,15,20300,1,2.1,18,,12,12
6.5188245010661e+13,,2000,1,1,16,20300,1,2.3,19,,241,12
6.5188253010661e+13,,2000,1,2,1,20300,1,11,66,66,375,12
6.5188143010661e+13,,2000,1,2,2,20300,1,5.3,29,29,241,12
6.5188145010661e+13,,2000,1,2,3,20300,1,6.6,26,26,241,12
6.5188147010661e+13,,2000,1,2,4,20300,1,6.5,32,32,241,12
6.5188149010661e+13,,2000,1,2,5,20300,2,8.4,51,12,375,12
6.5188151010661e+13,,2000,1,2,6,20300,1,7.4,32,32,241,12
6.5188153010661e+13,,2000,1,2,7,20300,2,6.1,42,24,371,12
6.5188155010661e+13,,2000,1,2,8,20300,2,10.7,59,12,375,12
6.5188159010661e+13,,2000,1,2,9,20300,1,6.1,36,36,241,12
6.5188161010661e+13,,2000,1,2,10,20300,1,13.1,76,76,375,12
6.5188163010661e+13,,2000,1,2,11,20300,1,7.6,48,48,241,12
6.5188165010661e+13,,2000,1,2,12,20300,1,13.2,78,78,375,12
6.5188167010661e+13,,2000,1,2,13,20300,1,8.6,43,43,241,12
6.5188169010661e+13,,2000,1,2,14,20300,1,13.3,76,76,375,12
6.5188171010661e+13,,2000,1,2,15,20300,1,1.5,18,,319,12
6.5188255010661e+13,,2000,1,3,1,20300,1,9.9,56,56,375,12
6.5188257010661e+13,,2000,1,3,2,20300,1,10.1,46,46,241,12
6.5188259010661e+13,,2000,1,3,3,20300,1,6.4,34,34,241,12
6.5188261010661e+13,,2000,1,3,4,20300,1,5.7,52,52,241,12
6.5188175010661e+13,,2000,1,4,1,20300,1,12.4,72,72,375,12
6.5188179010661e+13,,2000,1,4,2,20300,1,8.2,55,55,375,12
6.5188187010661e+13,,2000,1,4,6,20300,1,6.9,48,48,241,12
6.5188181010661e+13,,2000,1,4,3,20300,2,8.7,53,8,375,12
