"CN","PREV_TRE_CN","INVYR","UNITCD","SUBP","TREE","PLOT","STATUSCD","DIA","HT","ACTUALHT","SPCD","CYCLE"
6.5240847010661e+13,,2000,3,1,2,20052,1,12.3,47,47,809,12
6.5240849010661e+13,,2000,3,1,6,20052,1,6.5,50,50,375,12
6.5240852010661e+13,,2000,3,1,7,20052,1,5.6,47,47,375,12
6.5240859010661e+13,,2000,3,1,8,20052,1,8.8,49,49,105,12
6.5240865010661e+13,,2000,3,1,9,20052,1,8.6,62,62,743,12
6.5240867010661e+13,,2000,3,1,10,20052,1,8.9,54,54,743,12
6.5241011010661e+13,,2000,3,2,1,20052,1,7.6,49,49,105,12
6.5241015010661e+13,,2000,3,2,3,20052,1,1.4,17,,809,12
6.5240877010661e+13,,2000,3,3,4,20052,1,6.3,58,58,743,12
6.5241013010661e+13,,2000,3,2,2,20052,1,10.1,45,45,809,12
6.5240871010661e+13,,2000,3,3,1,20052,1,5.2,50,50,809,12
6.5240873010661e+13,,2000,3,3,2,20052,1,8,57,57,743,12
6.5240875010661e+13,,2000,3,3,3,20052,1,8.3,56,56,743,12
6.5240879010661e+13,,2000,3,3,5,20052,1,8.4,54,54,743,12
6.5240881010661e+13,,2000,3,3,6,20052,1,7.3,52,52,743,12
6.5240885010661e+13,,2000,3,3,7,20052,1,10.3,56,56,105,12
6.5240887010661e+13,,2000,3,3,8,20052,1,7.4,49,49,743,12
6.5240889010661e+13,,2000,3,3,9,20052,1,5.7,38,38,809,12
6.5240893010661e+13,,2000,3,3,10,20052,1,7.2,46,46,105,12
6.5240897010661e+13,,2000,3,3,11,20052,1,5.7,35,27,105,12
6.5240899010661e+13,,2000,3,3,12,20052,1,5.1,51,51,743,12
6.5240901010661e+13,,2000,3,3,13,20052,1,7.5,56,56,743,12
6.5240903010661e+13,,2000,3,3,14,20052,1,8.5,53,53,743,12
6.5240905010661e+13,,2000,3,3,15,20052,1,7.7,57,57,743,12
6.5240907010661e+13,,2000,3,3,16,20052,1,7.8,52,52,743,12
6.5240909010661e+13,,2000,3,4,1,20052,1,9.4,63,63,743,12
6.5240911010661e+13,,2000,3,4,2,20052,1,6.4,53,53,743,12
6.5240913010661e+13,,2000,3,4,3,20052,1,6,53,53,746,12
6.5240915010661e+13,,2000,3,4,4,20052,1,8.7,56,56,743,12
6.5240917010661e+13,,2000,3,4,5,20052,2,6.4,44,39,746,12
6.5240919010661e+13,,2000,3,4,6,20052,1,5.5,53,53,746,12
6.5240921010661e+13,,2000,3,4,7,20052,1,7,51,51,746,12
